了	乛 亅
涧	氵 间
雹	雨 包
屹	山 乞
悦	忄 兑
迈	辶 万
屈	尸 出
政	正 攵
府	广 付
宾	宀 兵
盏	戋 皿
栏	木 兰
汇	氵 匚
爆	火 暴
宣	宀 亘
阅	门 兑
坦	土 旦
距	足 巨
隆	阝 夂 生
射	身 寸
凛	冫 禀
疙	疒 乞
瘩	疒 荅
棍	木 昆
裁	土 戈 衣
筹	竹 寿
橡	木 象
雕	周 隹
跺	足 朵
颓	秃 页
沮	氵 且
趴	足 八
屉	尸 世
谜	讠 迷
氧	气 羊
倾	亻 顷
揭	扌 曷
斑	玉 文 王
燥	火 喿
漠	氵 莫
磁	石 兹
素	丰 糸
盗	次 皿
培	土 咅
揪	扌 秋
瞪	目 登
废	广 发
汹	氵 凶
涌	氵 甬
澎	氵 彭
湃	氵 拜
熄	火 息
掀	扌 欣
淋	氵 林
糟	米 曹
皱	刍 皮
棚	木 朋
苔	艹 台
藓	艹 鲜
坪	土 平
蔗	艹 庶
瀑	氵 暴
增	土 曾
缝	纟 逢
谚	讠 彦
袖	衤 由
篷	竹 逢
缩	纟 宿
疯	疒 风
柜	木 巨
蒜	艹 示 示
酱	丬 夕 酉
蹦	足 崩
涯	氵 厓
莺	艹 冖 鸟
莹	艹 冖 玉
裹	衣 果
篮	竹 监
蔼	艹 谒
资	次 贝
矿	石 广
慷	忄 康
慨	忄 既
贡	工 贝
滥	氵 监
基	其 土
睹	目 者
巍	山 魏
弦	弓 玄
锦	钅 帛
曝	日 暴
谱	讠 普
莱	艹 来
茵	艹 因
盲	目 亡
纯	纟 屯
键	钅 建
缕	纟 娄
陶	阝 匋
郑	阝 邑
拜	手 手
租	禾 且
厨	厂 豆 寸
毡	毛 占
撒	扌 散
缚	纟 尃
猬	犭 胃
伶	亻 令
俐	亻 利
窜	穴 串
搁	扌 阁
综	纟 宗
澄	氵 登
萍	艹 氵 平
漾	氵 羕
削	肖 刂
瞬	目 舜
凝	冫 疑
骤	马 聚
掷	扌 掷 郑
陡	阝 走
醋	酉 昔
饺	饣 交
摊	扌 难
拌	扌 半
筝	竹 争
眨	目 乏
宵	宀 肖
燃	火 然
贩	贝 反
彼	彳 皮
贺	加 贝
轿	车 乔
骆	马 各
驼	马 它
腊	月 昔
粥	弓 米 弓
腻	月 贰
匙	是 匕
搅	扌 觉
稠	禾 周
肿	月 中
熬	敖 火
褐	衤 曷
缸	缶 工
脏	月 庄
筷	竹 快
御	彳 卸
皎	白 交
章	立 早
泣	氵 立
盈	夃 皿
脉	月 永
栖	木 西
鸦	牙 鸟
惧	忄 具
凄	冫 妻
寞	宀 莫
宴	宀 妟
霉	雨 母
籍	竹 耤
聊	耳 卯
控	扌 空
贷	代 贝
剔	易 刂
毙	比 死
抵	扌 氐
袭	龙 衣
覆	覀 復
藏	艹 臧
挪	扌 那
徘	彳 非
徊	彳 回
蒸	艹 烝
裸	衤 果
媚	女 眉
砖	石 专
蚁	虫 义
绊	纟 半
绞	纟 交
耽	耳 冘
揉	扌 柔
绽	纟 定
沫	氵 末
搓	扌 差
惶	忄 皇
偎	亻 畏
络	纟 各
锤	钅 垂
凿	丵 凵
焚	林 火
稚	禾 隹
避	辶 辟
峻	山 夋
僻	亻 辟
瞅	目 秋
靴	革 化
魔	麻 鬼
刑	开 刂
绑	纟 邦
袍	衤 包
押	扌 甲
执	扌 丸
彻	彳 切
迁	辶 千
迫	辶 白
批	扌 比
标	木 示
牺	牜 西
炊	火 欠
葬	艹 死 廾
援	扌 爰
俱	亻 具
辩	辛 讠 辛
域	土 或
惯	忄 贯
疑	匕 矢 龴 疋
盐	土 卜 皿
溅	氵 贱
蕊	艹 惢
搜	扌 叟
蚯	虫 丘
蚓	虫 引
版	片 反
阶	阝 介
脆	月 危
拦	扌 兰
恶	亚 心
怖	忄 布
