clue,explanation,answer,url
独大占上方,提示：“独”字义为“一个”，扣“一”。“大”明扣。“方”理解为方格，形状为“口”。口+一+大=吴。,吴,https://www.wwyulu.com/read/111591.html
刘先生十分能耐,提示：“刘先”指的是“刘”字笔画的先头部分，为“文”。“十分”等于长度一寸，扣“寸”；“十分能耐”反过来理解就是“耐”字笔画中的“寸”去掉，剩下“而”。文+而=斋。,斋,https://www.wwyulu.com/read/111589.html
十分能耐,提示：“十分”等于长度一寸，扣“寸”；“十分能耐”反过来理解就是“耐”字笔画中的“寸”去掉，剩下“而”。,而,https://www.wwyulu.com/read/111587.html
十分能耐清零后,提示：“十分”等于长度一寸，扣“寸”；“十分能耐”反过来理解就是“耐”字笔画中的“寸”去掉，剩下“而”。“清零后”指的是“零”字笔画的后面部分清除，去掉，剩下“雨”。雨+而=需。,需,https://www.wwyulu.com/read/111585.html
驱逐后错上加错,提示：“驱逐后”指的是“驱”字笔画后面部分逐走，去掉，剩下“马”。“错”指的是差错，符号为“×”；“错上加错”指的是两个“×”，即“××”。,驳,https://www.wwyulu.com/read/111583.html
双方驱逐后斗嘴,提示：“方”理解为方格，形状为“口”；“双方”指的是一双“口”，即“口口”。“驱逐后”指的是“驱”字笔画的后面部分驱逐，去掉，剩下“马”。马+口+口=骂。“斗嘴”指的是互相骂对方，扣“骂”。第二次紧扣谜底。,骂,https://www.wwyulu.com/read/111579.html
一箭射入卧山中,提示：“箭”即“矢”之意。“一箭射入卧山中”指的是“山”字卧倒，中间的“一”射掉，去掉，剩下“匚”；“匚”再与“矢”组成字“医”。,医,https://www.wwyulu.com/read/111577.html
三叉口,提示：“三叉”指的是三叉路口，形状为“丫”。“口”明扣。口+丫=吖。,吖,https://www.wwyulu.com/read/111575.html
嘴上小心即可,提示：“嘴”即“口”之意。“小心”指的是“小”字笔画的中心部分，为“亅”。“嘴上小心即可”反过来理解就是“可”字笔画中的“口”“亅”没有，去掉，剩下“一”。,一,https://www.wwyulu.com/read/111573.html
终其一生无火灾,提示：“终其一生”指的是“生”字笔画中的“一”终结，去掉，剩下“牛”。“无火灾”指的是“灾”字笔画中的“火”无，去掉，剩下“宀”。宀+牛=牢。,牢,https://www.wwyulu.com/read/111571.html
马到塞下土飞扬,提示：“马”明扣。“塞下土飞扬”指的是“塞”字笔画下面部分的“土”飞走，去掉。,骞,https://www.wwyulu.com/read/111569.html
人去留名,提示：“人”理解为单人旁“亻”。“名”明扣。名+亻=佲。,佲,https://www.wwyulu.com/read/111567.html
开始一直不吐口,提示：“开始”指的是“开”字笔画的初始部分，为“一”。“一”明扣。“直”指的是竖直，形状为“丨”。“不吐口”指的是“吐”字笔画中的“口”不要，去掉，剩下“土”。土+一+一+丨=圭。,圭,https://www.wwyulu.com/read/111565.html
植树八载终成林,提示：“树”指的是树木，扣“木”。“植树八载终成林”指的是“植”“木”“八”笔画中的“林”终结，去掉，剩下“直”“八”，“直”与“八”组成字“真”。,真,https://www.wwyulu.com/read/111563.html
毒品沾上女不安,提示：“毒品沾上”指的是“毒品”二字笔画的上面部分，为“丰口”。“女不安”指的是“安”字笔画中的“女”不要，去掉，剩下“宀”。宀+丰+口=害。注意：“毒”字笔画的上面部分需要调整笔画，变成字“丰”。,害,https://www.wwyulu.com/read/111561.html
天下丰收初秋后,提示：“天下”指的是“天”字笔画的下面部分，为“大”。“丰”明扣。“初秋后”指的是“初”字笔画的后面部分，为“刀”。刀+丰+大=契。,契,https://www.wwyulu.com/read/111559.html
雪后不见画中景,提示：“雪后不见”指的是“雪”字笔画的后面部分不见，去掉，剩下“雨”。“画中”指的是“画”字笔画的中间部分，为“田”。田+雨=雷。,雷,https://www.wwyulu.com/read/111557.html
差一点烧到前面,提示：“差”指的是差错，符号为“×”。“一”明扣。“点”的形状为“、”。“烧到前面”指的是“烧”字笔画的前面部分，为“火”。,炆,https://www.wwyulu.com/read/111555.html
衷心直变横，后来不幸运,提示：“衷心直变横”指的是“衷”字笔画中的“直（丨）”变成“横（一）”，即“衷”变成字“衰”。“后来不幸运”暗示“衰”之意。,衰,https://www.wwyulu.com/read/111553.html
高楼设计四十层,提示：“高楼”的形状为“且”。“四十”明扣。四+十+且=置。,置,https://www.wwyulu.com/read/111551.html
双方幸亏明日走,提示：“方”理解为方格，形状为“口”；“双方”指的是一双“口”，即“口口”。“亏”明扣。“明日走”指的是“明”字笔画中的“日”走了，去掉，剩下“月”。月+口+口+亏=腭。,腭,https://www.wwyulu.com/read/111549.html
亏得双方明日走,提示：“亏”明扣。“方”理解为方格，形状为“口”；“双方”指的是一双“口”，即“口口”。“明日走”指的是“明”字笔画中的“日”走了，去掉，剩下“月”。月+口+口+亏=腭。,腭,https://www.wwyulu.com/read/111547.html
医除箭伤君救助,提示：“箭”即“矢”之意。“医除箭伤”指的是“医”字笔画中的“矢”去除，去掉，剩下“匚”。“君”指的是君王，扣“王”。王+匚=匡。,匡,https://www.wwyulu.com/read/111545.html
秋雨点点连日复习,提示：“雨”指的是雨水，说明没有“火”；“秋雨”指的是“秋”字笔画没有“火”，剩下“禾”。“点”的形状为“、”；“点点”即“、、”。“连日”指的是“日”与“日”相连，组成字“田”。“复习”指的是“习”字重复，即“习习”。,翻,https://www.wwyulu.com/read/111543.html
无心思念,提示：“无心思”指的是“思”字笔画的“心”无，去掉，剩下“田”。“念”为“廿”的大写，字义为“二十”，“二十”理解为两个“十”字，即“十十”，“十”与“十”组成字“艹”。艹+田=苗。,苗,https://www.wwyulu.com/read/111541.html
月残星孤居异乡,提示：“月残”指的是残月如弓，扣“弓”。“星”指的是星星，形状为“、”。“孤”字义为“单独”，即“一”之意。“异乡”指的是“乡”字笔画变异，变成字“幺”。,弦,https://www.wwyulu.com/read/111539.html
河畔月照树影高,提示：“河畔”指的是“河”字笔画的一边，取“氵”。“月”明扣。“树”指的是树木，扣“木”；“树影”指的是“木”与影子“木”，即“木木”。木+木+氵+月=潸。,潸,https://www.wwyulu.com/read/111531.html
独木桥,提示：“独”字义为“一个”，扣“一”。“木”明扣。“桥”的形状为“冖”。冖+一+木=束。,束,https://www.wwyulu.com/read/111529.html
一直在动员,提示：“一”明扣。“直”指的是竖直，形状为“丨”。“员”明扣。“一直在动员”指的是“一”“丨”与“员”调整笔画，组成字“贵”。,贵,https://www.wwyulu.com/read/111527.html
狗儿有点变了样,提示：“狗”即“犬”之意。“点”的形状为“、”。“狗儿有点变了样”指的是“犬”与“、”调整笔画，组成字“头”。,头,https://www.wwyulu.com/read/111525.html
独自走天涯,提示：“独”字义为“一个”，扣“一”。“天涯”指的是“天”字笔画的边部，为“一”；“自走天涯”指的是“自”字笔画中的“一”走了，去掉，剩下“白”。白+一=百。,百,https://www.wwyulu.com/read/111523.html
秋雨点点播四方,提示：“雨”指的是雨水，说明没有“火”；“秋雨”指的是“秋”字笔画没有“火”，剩下“禾”。“点”的形状为“、”；“点点”即“、、”。“方”理解为方格，形状为“口”；“四方”指的是四个“口”，即“口口口口”，“口口口口”相连，组成字“田”。,番,https://www.wwyulu.com/read/111521.html
泉水清处聚七仙,提示：“泉水清”指的是“泉”字笔画中的“水”清除，去掉，剩下“白”。“七”明扣。白+七=皂。,皂,https://www.wwyulu.com/read/111519.html
先公后私,提示：“先公”指的是“公”字笔画的先头部分，为“丿”。“后私”指的是“私”字笔画的后面部分，为“厶”。丿+厶=么。,么,https://www.wwyulu.com/read/111517.html
推心置腹互上进,提示：“推心”指的是“推”字笔画的中心部分，为“亻”。“置腹”指的是“置”字笔画的中间部分，为“十”。“互上”指的是“互”字笔画的上面部分，为“一”。一+十+亻=仕。,仕,https://www.wwyulu.com/read/111515.html
得请先生一日走,提示：“先生”指的是“生”字笔画的先头部分，为“丿”。“得请先生一日走”指的是“得”字笔画中的“丿”“一日”走了，去掉，剩下“付”。,付,https://www.wwyulu.com/read/111513.html
灯下人相依,提示：“灯下”指的是“灯”字笔画的下面部分，这里指的是“灯”字笔画的最后部分，为“丁”。“人”理解为单人旁“亻”。亻+丁=仃。,仃,https://www.wwyulu.com/read/111511.html
一到白头，人生难过,提示：“一到白头”指的是“一”在“白”的头部，组成字“百”。“人生难过”指的是“人生难过百”，扣“百”。第二次紧扣谜底。,百,https://www.wwyulu.com/read/111509.html
人来北京知多少,提示：“人”理解为单人旁“亻”。“北京”指的是“京”字笔画的北部（上面部分），为“亠”。“多少”即“几”之意。几+亠+亻=伉。,伉,https://www.wwyulu.com/read/111507.html
其折断声如斯夫,提示：“其折断”指的是“折”拆分开，再与“其”组成字“撕”。“声如斯夫”指的是谜底的读音与“斯”相同。,撕,https://www.wwyulu.com/read/111505.html
地上长出头茬苗,提示：“地上”指的是“地”字笔画的开始部分，为“土”。“出头茬苗”指的是“苗”字笔画的头部出去，去掉，剩下“田”。田+土=里。,里,https://www.wwyulu.com/read/111503.html
一片孤帆云水间,提示：“帆”的形状为“巾”。“云水间”指的是“云水”二字笔画的中间部分，分别为“一亅”，“一”与“亅”组成字“丁”。丁+巾=帄。,帄,https://www.wwyulu.com/read/111495.html
共工一头撞破天,提示：“共工一头撞破天”指的是“天”字笔画的头部被共工撞破，变成字“夫”。,夫,https://www.wwyulu.com/read/111493.html
弃后空留西江月,提示：“弃后空”指的是“弃”字笔画的后面部分空了，去掉，剩下“亠厶”。“西江”指的是“江”字笔画的西面（左边部分），为“氵”。“月”明扣。,淯,https://www.wwyulu.com/read/111491.html
前引池边拥上台,提示：“前引”指的是“引”字笔画的前面部分，为“弓”。“池边”指的是“池”字笔画的一边，取“氵”。“上台”指的是“台”字笔画的上面部分，为“厶”。厶+弓+氵=泓。,泓,https://www.wwyulu.com/read/111489.html
鸣鸟空留西江月,提示：“鸣鸟空”指的是“鸣”字笔画中的“鸟”空了，去掉，剩下“口”。“西江”指的是“江”字笔画的西面（左边部分），为“氵”。“月”明扣。口+月+氵=涓。,涓,https://www.wwyulu.com/read/111487.html
扩大内需,提示：“扩大内需”指的是“大”字扩展开，与“内”调整笔画，组成字“两”。,两,https://www.wwyulu.com/read/111485.html
几许虚度业荒废,提示：“几”明扣。“虚度业荒废”指的是“虚”字笔画中的“业”荒废，去掉。,虎,https://www.wwyulu.com/read/111483.html
活在当下方成仙,提示：“当下”指的是“当”字笔画的下面部分，为“彐”；“活在当下”指的是“彐”活动，调整笔画，变成字“山”。“活在当下方成仙”反过来理解就是“仙”字笔画中的“山”没有，去掉，剩下“亻”，“亻”扣“人”。,人,https://www.wwyulu.com/read/111481.html
人要活在当下,提示：“人”理解为单人旁“亻”。“当下”指的是“当”字笔画的下面部分，为“彐”；“活在当下”指的是“彐”活动，调整笔画，变成字“山”。山+亻=仙。,仙,https://www.wwyulu.com/read/111479.html
日月潭边云蔽日,提示：“日”“蔽日”指的是“日”遮蔽，隐藏，去掉，解谜底的时候忽略掉。“月”明扣。“云”明扣。“潭边”指的是“潭”字笔画的一边，取“氵”。氵+月+云=淯。,淯,https://www.wwyulu.com/read/111477.html
轻舟一叶载客来,提示：“舟”的形状为“辶”。“客”指的是客人，古时候宾客的座位在西面，扣“西”。西+辶=迺。,迺,https://www.wwyulu.com/read/111475.html
听雨穿林声,提示：“雨”指的是雨水，扣“水”，“水”理解为三点水“氵”。“林”明扣。林+氵=淋。,淋,https://www.wwyulu.com/read/111473.html
一心共白头,提示：“心”明扣。“白头”指的是“白”字笔画的头部，为“丿”。丿+心=必。,必,https://www.wwyulu.com/read/111471.html
转眼归去马蹄疾,提示：“目”字义为“眼睛”，与谜面中的“眼”相扣；“转眼”指的是“目”字笔画转动，变成字“罒”。“去”明扣。“马蹄”指的是马的四只脚，形状为“、、、、”。,罴,https://www.wwyulu.com/read/111469.html
归心如箭,提示：“归心”指的是“归”字笔画的中心部分，为“丿”。“箭”即“矢”之意。“归心如箭”反过来理解就是“矢”字笔画中的“丿”没有，去掉，剩下“天”。,天,https://www.wwyulu.com/read/111467.html
欲上山时闻雨声,提示：“闻雨声”指的是谜底的读音与“雨”谐音。“欲上”指的是“欲”字笔画的开始部分，为“谷”。“山”明扣。山+谷=峪。,峪,https://www.wwyulu.com/read/111455.html
南水北调泵完成,提示：“南水北调泵完成”指的是“泵”字笔画的南面（下面部分）与北面（上面部分）调换位置，变成字“沯”。,沯,https://www.wwyulu.com/read/111453.html
前程灿烂归名下,提示：“前程”指的是“程”字笔画的前面部分，为“禾”。“名下”指的是“名”字笔画的下面部分，为“口”。口+禾=和。,和,https://www.wwyulu.com/read/111451.html
先说不是没好话,提示：“先说”指的是“说”字笔画的先头部分，为“讠”。“不是”即“非”之意。非+讠=诽。“没好话”即“诽”之意。,诽,https://www.wwyulu.com/read/111449.html
不翼而飞四方寻,提示：“不翼而飞”指的是“不”字笔画的翅膀飞走，去掉，剩下“丁”。“方”理解为方格，形状为“口”；“四方”指的是四个“口”，即“口口口口”，“口口口口”相连，组成字“田”。田+丁=町。,町,https://www.wwyulu.com/read/111447.html
人初见面,提示：“人”明扣。“初见面”指的是“见面”二字笔画的初始部分，分别为“冂”“一丿”。,页,https://www.wwyulu.com/read/111445.html
人初见面一定小心,提示：“人”明扣。“初见面”指的是“见面”二字笔画的初始部分，分别为“冂”“一丿”。“一”明扣。“小心”指的是“小”字笔画的中心部分，为“亅”。,顶,https://www.wwyulu.com/read/111443.html
人初见面，四方逢春,提示：“人”明扣。“初见面”指的是“见面”二字笔画的初始部分，分别为“冂”“一丿”。“方”理解为方格，形状为“口”；“四方”指的是四个“口”，即“口口口口”，“口口口口”相连，组成字“田”。“春”五行属木，扣“木”。,颗,https://www.wwyulu.com/read/111441.html
一直不到位,提示：“直”指的是竖直，形状为“丨”。“一直不到位”指的是“位”字笔画中的“丨”不要，去掉，剩下“丿立”，“丿立”调整笔画，组成字“产”。,产,https://www.wwyulu.com/read/111439.html
行至尽头不复还,提示：“尽头”指的是“尽”字笔画的头部，为“尺”。“不复还”指的是“还”字笔画的“不”不在，去掉，剩下“辶”。辶+尺=迟。,迟,https://www.wwyulu.com/read/111437.html
前引上台观西江,提示：“前引”指的是“引”字笔画的前面部分，为“弓”。“上台”指的是“台”字笔画的上面部分，为“厶”。“西江”指的是“江”字笔画的西面（左边部分），为“氵”。氵+弓+厶=泓。,泓,https://www.wwyulu.com/read/111435.html
二月前立即去复产,提示：“二月”指的是两个“月”字，即“月月”；“二月前”指的是“月月”笔画的前面部分，为“丿丿”。“复产”指的是“产”字笔画重复，即“产产”；“立即去复产”指的是“产产”去掉一个“立”，剩下“产丿”。产+丿+丿+丿=彦。,彦,https://www.wwyulu.com/read/111433.html
残月横山映水中,提示：“残月”指的是“月”字笔画残缺，剩下“⺈”。“横山”指的是“山”字笔画横过来，变成字“彐”。“水中”指的是“水”字笔画的中间部分，为“亅”。亅+彐+⺈=争。,争,https://www.wwyulu.com/read/111397.html
两点提前集合,提示：“两点”时间段为“丑时”，扣“丑”。“提前”指的是“提”字笔画的前面部分，为“扌”。扌+丑=扭。,扭,https://www.wwyulu.com/read/111395.html
满弓拉破箭，射发皆中的,提示：“弓”明扣。“破箭”指的是“箭”字笔画残破，去掉部分，剩下“⺮”。“射发皆中的”指的是“射发”笔画的中间部分，为“丨丿”。,第,https://www.wwyulu.com/read/111393.html
到晚汗不干,提示：“夕”字义为“晚上”，与谜面中的“晚”相扣。“汗不干”指的是“汗”字笔画中的“干”不要，去掉，剩下“氵”。氵+夕=汐。,汐,https://www.wwyulu.com/read/111391.html
一直一直加四点,提示：“直”理解为竖直，形状为“丨”。第二个“直”明扣。“点”的形状为“、”；“四点”即四个“、”，即“、、、、”。,慎,https://www.wwyulu.com/read/111389.html
全家三十口，有二十口已老,提示：“三十”理解为三个“十”，即“十十十”，“十”与“十”组成字“艹”，剩下的一个“十”明扣，“三十”扣“艹十”。“口”明扣。口+艹+十=苦。,苦,https://www.wwyulu.com/read/111387.html
四方合作，贡献要大一点,提示：“方”理解为方格，形状为“口”；“四方”指的是四个“口”，即“口口口口”。“大一”明扣。“点”的形状为“、”。,器,https://www.wwyulu.com/read/111385.html
四方合作贡献大,提示：“方”理解为方格，形状为“口”；“四方”指的是四个“口”，即“口口口口”，“口口口口”相连，组成字“田”。“大”明扣。大+田=奋。,奋,https://www.wwyulu.com/read/111383.html
直接动首示强取,提示：“直”指的是竖直，形状为“丨”。“直接动首示强取”指的是“丨”在“动”字笔画的首部，组成字“劫”。,劫,https://www.wwyulu.com/read/111381.html
直接动左边,提示：“直”指的是竖直，形状为“丨”。“直接动左边”指的是“丨”在“动”字笔画的左边部分，组成字“劫”。,劫,https://www.wwyulu.com/read/111379.html
口中口,提示：“口中口”指的是“口”字笔画里面还有“口”，组成字“回”。,回,https://www.wwyulu.com/read/111377.html
独立村头数过人,提示：“独”字义为“一个”，扣“一”。“村头”指的是“村”字笔画的头部，为“木”。“人”理解为单人旁“亻”。亻+一+木=体。,体,https://www.wwyulu.com/read/111375.html
鸟雀进来速放走,提示：“鸟”从远处看，形状为“、”。“雀”指的是麻雀，从远处看，形状为“、”。“走”理解为走之旁“辶”；“速放走”指的是“速”字笔画的“辶”放开，去掉，剩下“束”。,柬,https://www.wwyulu.com/read/111373.html
莫道头今白,提示：“莫道头今白”指的是“今”字笔画的头部，为“人”。,人,https://www.wwyulu.com/read/111371.html
更想五年后,提示：“更想五年后”指的是“想五年”三字笔画的后面部分，分别为“心一十”，“心一十”更改，调整笔画，组成字“志”。,志,https://www.wwyulu.com/read/111363.html
残柳参差舞,提示：“残柳”指的是“柳”字笔画残缺，去掉部分，剩下“木”。“差”明扣。差+木=槎。,槎,https://www.wwyulu.com/read/111361.html
时节又春半,提示：“时节”指的是“时”字笔画节省部分，去掉部分，剩下“口”。“春半”指的是“春”字笔画的一半，取“日”；“又春半”指的是“日”重复，即“日日”。口+日+日=唱。,唱,https://www.wwyulu.com/read/111359.html
生死一觉一夕间,提示：“生死一”指的是“生”字笔画的“一”死掉，去掉，去掉，剩下“牛”。“一夕”指的是一夕匕，扣“匕”。牛+匕=牝。,牝,https://www.wwyulu.com/read/111356.html
一丝红罗订白首,提示：“一”明扣。“丝”理解为绞丝旁“纟”；“丝红罗”指的是“红”字笔画中的“纟”遮拦，去掉，剩下“工”。“订白首”指的是“订”字笔画的首部白白，没有了，剩下“丁”。丁+一+工=玎。,玎,https://www.wwyulu.com/read/111354.html
梁下候女虽未至，又叹妹空留世间,提示：“梁下”指的是“梁”字笔画的下面部分，为“木”。“又叹妹空”指的是“叹”字笔画中的“又”空了，去掉，剩下“口”；“女虽未至，又叹妹空”指的是“虽”字笔画中的“口”未至，去掉，剩下“虫”。“世”明扣。世+虫+木=蝶。,蝶,https://www.wwyulu.com/read/111352.html
天蚕食尽老叶头,提示：“天蚕食”指的是“蚕”字笔画中的“天”吃掉，去掉，剩下“虫”。“老叶”指的是“叶”字的繁体字，为“葉”；“尽老叶头”指的是“葉”字笔画的头部尽，去掉，剩下“枼”。枼+虫=蝶。,蝶,https://www.wwyulu.com/read/111350.html
繁叶先剪喂虫来,提示：“繁叶”指的是“叶”字的繁体字，为“葉”；“繁叶先剪”指的是“葉”字笔画的先头部分剪掉，去掉，剩下“枼”。“虫”明扣。虫+枼=蝶。,蝶,https://www.wwyulu.com/read/111348.html
浊水清处鲽鱼游,提示：“水”理解为三点水“氵”；“浊水清”指的是“浊”字笔画中的“氵”清除掉，去掉，剩下“虫”。“鲽鱼游”指的是“鲽”字笔画中的“鱼”游走，去掉，剩下“枼”。枼+虫=蝶。,蝶,https://www.wwyulu.com/read/111346.html
危难当头人乐观,提示：“危难当头”指的是“危难”二字笔画的头部，分别为“⺈又”。“人”明扣。人+⺈+又=欢。,欢,https://www.wwyulu.com/read/111344.html
陶后鲜有闻,提示：“陶后鲜”指的是“陶”字笔画的后面部分鲜少，去掉，剩下“阝”。“有”明扣。有+阝=郁。,郁,https://www.wwyulu.com/read/111342.html
半阴半晴天,提示：“半阴”指的是“阴”字笔画的一半，取“月”。“半晴天”指的是“晴天”二字笔画的一半，分别为“日一”。月+日+一=胆。,胆,https://www.wwyulu.com/read/111336.html
爱心接力见高节,提示：“爱心”指的是“爱”字笔画的中心部分，为“冖”。“力”明扣。“高节”指的是“节”字笔画的高处，为“艹”。艹+冖+力=劳。,劳,https://www.wwyulu.com/read/111334.html
后卫直插，充当前锋,提示：“后卫”指的是“卫”字笔画的后面部分，为“一”。“直”指的是竖直，形状为“丨”。“前锋”指的是“锋”字笔画的前面部分，为“钅”。,针,https://www.wwyulu.com/read/111332.html
主动献爱心，共把新景绘,提示：“主动”指的是“主”字调整笔画。“爱心”指的是“爱”字笔画的中心部分，为“冖”。“共”明扣。共+冖+主=塞。,塞,https://www.wwyulu.com/read/111330.html
月残三星伴人回,提示：“月残”指的是“月”字笔画残缺，剩下“尸”。“星”的形状为“、”；“三星”即三“、”，即“、、、”。“人”明扣。,炉,https://www.wwyulu.com/read/111328.html
优先卖给读者,提示：“优先”指的是“优”字笔画的先头部分，为“亻”。“卖给读”反过来理解就是“读”字笔画中的“卖”没有给，去掉，剩下“讠”。“者”明扣。者+亻+讠=储。,储,https://www.wwyulu.com/read/111326.html
天下裂其土,提示：“天下裂”指的是“天”字笔画的下面部分裂开，去掉，剩下“一”。“其土”二字明扣。其+土+一=琪。,琪,https://www.wwyulu.com/read/111324.html
杏眼半开泪珠流,提示：“杏眼半开”指的是“杏眼”二字笔画开除一半，去掉一半，分别剩下“木目”。“泪珠流”指的是泪水流，扣“水”，“水”理解为三点水“氵”。氵+木+目=湘。,湘,https://www.wwyulu.com/read/111322.html
中间复何有,提示：“中间复何有”指的是“间复何”三字笔画的中间部分，分别为“日日口”。口+日+日=唱。,唱,https://www.wwyulu.com/read/111320.html
一年将尽夜,提示：“岁”字义为“年”，与谜面中的“年”相扣。“夕”字义为“晚上”，与谜面中的“夜”相扣。“一年将尽夜”指的是“岁”字笔画中的“夕”尽了，去掉，剩下“山”。,山,https://www.wwyulu.com/read/111318.html
人任去留一念间,提示：“人”理解为单人旁“亻”；“人任去”指的是“任”字笔画的“亻”去掉，剩下“壬”。“一”明扣。“念”为“廿”的大写，字义为“二十”，“二十”理解为两个“十”字，即“十十”，“十”与“十”组成字“艹”。艹+一+壬=垂。,垂,https://www.wwyulu.com/read/111316.html
流莺翻飞理翠羽,提示：“流莺翻飞”形状为“疒”。“理翠羽”指的是“翠”字笔画的“羽”去掉，剩下“卒”。,瘁,https://www.wwyulu.com/read/111314.html
半空星星半空月,提示：“星”的形状为“、”；“星星”即“、、”；“半空星星”指的是“半”字笔画的“、、”空了，去掉，剩下“二丨”。“半空月”指的是“月”字笔画空了一半，剩下“冂”。,用,https://www.wwyulu.com/read/111312.html
望上去如樱桃一点,提示：“望上去”指的是“望”字笔画的上面部分去掉，剩下“王”。“樱桃”指的是樱桃小嘴，即小口，扣“小口”。“一”明扣。“点”的形状为“、”。,琼,https://www.wwyulu.com/read/111310.html
美人商在天,提示：“美人”指的是美人鱼，扣“鱼”。“天”即“日”之意，例如：“一天”即“一日”。日+鱼=鲁。,鲁,https://www.wwyulu.com/read/111308.html
山叶乱舞起秋愁,提示：“山”明扣。“叶乱舞”指的是“叶”字笔画打乱，重新组成字“田”。“起秋愁”指的是“愁”字笔画中的“秋”起开，去掉，剩下“心”。心+田+山=崽。,崽,https://www.wwyulu.com/read/111234.html
又见丰收一片金,提示：“又”明扣。“丰收一片”指的是“丰”字笔画收走，去掉“一”，剩下“二丨”。“金”理解为金字旁“钅”。,铎,https://www.wwyulu.com/read/111231.html
对内改革带好头,提示：“内改革”指的是“内”字调整笔画，变成字“贝”；“对内改革”指的是一对“贝”字，即“贝贝”。“好头”指的是“好”字笔画的头部，为“女”。女+贝+贝=婴。,婴,https://www.wwyulu.com/read/111229.html
姘头今来称舅母,提示：“姘头”指的是“姘”字笔画的头部，为“女”。“今”明扣。今+女=妗。“妗”字义为“舅母”，与谜面中的“舅母”相扣。第二次紧扣谜底。,妗,https://www.wwyulu.com/read/111227.html
爱的误差,提示：“差”指的是差错，符号为“×”。“爱的误差”指的是“爱”字笔画中的“×”少了，去掉，剩下“受”。,受,https://www.wwyulu.com/read/111225.html
河畔桥上春意浓,提示：“河畔”指的是“河”字笔画的一边，取“氵”。“桥上”指的是“桥”字笔画的上面部分，开始部分，为“木”。“春”五行属木，扣“木”。木+木+氵=淋。,淋,https://www.wwyulu.com/read/111223.html
月上梧桐沾早露,提示：“月”明扣。“上梧桐”指的是“梧桐”二字笔画的上面部分，分别为“木木”。“沾早”指的是“沾”字笔画的开始部分，为“氵”。氵+木+木+月=潸。,潸,https://www.wwyulu.com/read/111221.html
曲径花窗见孤帆,提示：“曲径”指的是弯曲的小径，形状为“弓”。“花窗”指的是窗户，形状为“口”。“孤帆”指的是船与船帆，形状为“虫”。,强,https://www.wwyulu.com/read/111219.html
一钩新月一星点,提示：“一”明扣。“钩”的形状为“戋”笔画没有“一一丿、”的部分。“新月”的形状为“丿”。“一”明扣。“星点”指的是星星，形状为“、”。,戋,https://www.wwyulu.com/read/111217.html
驿后离别断桥边,提示：“驿后离别”指的是“驿”字笔画后面部分离别，去掉，剩下“马”。“断桥边”指的是“桥”字笔画的一边断了，去掉，剩下“乔”。乔+马=骄。,骄,https://www.wwyulu.com/read/111215.html
斜雁归时日已落,提示：“斜雁”指的是大雁按着人字形飞行，现在“人”倾斜，变成“亻”。“时日已落”指的是“时”字笔画中的“日”落掉，去掉，剩下“寸”。寸+亻=付。,付,https://www.wwyulu.com/read/111192.html
星星映影人相伴，湖边隐约雁阵飞,提示：“星”的形状为“、”；“星星”即“、、”；“星星映影”指的是“、、”与影子“、、”，即“、、、、”。“人”明扣。“雁阵飞”指的是大雁按着人字形飞行，扣“人”。,淡,https://www.wwyulu.com/read/111190.html
枝头花叶初凋零,提示：“枝头”指的是“枝”字笔画的头部，为“木”。“花叶初凋零”指的是“花叶”二字笔画的初始部分凋零，去掉，分别剩下“化十”。化+十+木=桦。,桦,https://www.wwyulu.com/read/111188.html
老叶枯木草凋零,提示：“老叶”指的是“叶”字的繁体字，为“葉”。“草”理解为草字头“艹”。“老叶枯木草凋零”指的是“葉”字笔画中的“木”枯萎，去掉，“艹”凋零，去掉，剩下“世”。,世,https://www.wwyulu.com/read/111186.html
吃尽苦头,提示：“吃尽”指的是“吃”字笔画的尽头，最后部分，为“乙”。“苦头”指的是“苦”字笔画的头部，为“艹”。艹+乙=艺。,艺,https://www.wwyulu.com/read/111184.html
一泄千里清水流,提示：“一泄千里”指的是“千”字笔画中的“一”泄了，去掉，剩下“亻”。“水”理解为三点水“氵”；“清水流”指的是“清”字笔画中的“氵”流走，去掉，剩下“青”。青+亻=倩。,倩,https://www.wwyulu.com/read/111182.html
春来半雨半晴,提示：“春”五行属木，扣“木”。“半雨”指的是“雨”字笔画的一半，取“一”。“半晴”指的是“晴”字笔画的一半，取“日”。日+木+一=昧。,昧,https://www.wwyulu.com/read/111180.html
远树映影雪半降,提示：“树”的形状为“丰”；“远树映影”指的是“丰”与影子“丰”，即“丰丰”。“雪半”指的是“雪”字笔画的一半，取“彐”。彐+丰+丰=彗。,彗,https://www.wwyulu.com/read/111178.html
磨石隐笔下,提示：“磨石隐”指的是“磨”字笔画的“石”隐藏，去掉，剩下“麻”。“笔下”指的是“笔”字笔画的下面部分，为“毛”。毛+麻=麾。,麾,https://www.wwyulu.com/read/111176.html
蝴蝶争知春到来,提示：“蝴蝶”的形状为“亦”。“春”五行属木，扣“木”。木+亦=栾。,栾,https://www.wwyulu.com/read/111174.html
孤台见明月,提示：“孤台见明月”指的是“台”与“月”相见，组成字“胎”。台+月=胎。,胎,https://www.wwyulu.com/read/111172.html
