clue,explanation,answer,url
Architect and town planner set up two hospitals (4),' architect and town planner ' is the definition. (John Nash) ' set up two hospitals ' is the wordplay. ' two hospitals ' can mean two replacements for ' hospital '. ' set up ' is a reversal indicator. ' hospital ' becomes ' san '  . ' hospital ' becomes ' h '. ' san ' in reverse letter order is ' nas '. ' nas '+' h '=' NASH ',nash,https://www.crosswordgenius.com/clue/architect-and-town-planner-set-up-two-hospitals
Head of garrison more disposed to accept new infantryman (9),' infantryman ' is the definition. (grenadier is a kind of infantryman) ' head of garrison more disposed to accept new ' is the wordplay. ' head of ' says to take the initial letters. ' more disposed ' becomes ' readier '. ' to accept ' is an insertion indicator. ' new ' becomes ' n '. The first letter of ' g arrison ' is ' g '. ' readier ' enclosing ' n ' is ' renadier '. ' g '+' renadier '=' GRENADIER ',grenadier,https://www.crosswordgenius.com/clue/head-of-garrison-more-disposed-to-accept-new-infantryman
Acceptable footwear sailor finally carried towards land (7),' towards land ' is the definition.  ' acceptable footwear sailor finally carried ' is the wordplay. ' acceptable ' becomes ' on '  . ' footwear ' becomes ' shoe ' (shoe is a kind of footwear) . ' finally ' suggests the final letters. ' carried ' indicates putting letters inside (one word carried by another word) . The final letter of ' sailo r ' is ' r '. ' shoe ' placed around ' r ' is ' shore '. ' on '+' shore '=' ONSHORE ',onshore,https://www.crosswordgenius.com/clue/acceptable-footwear-sailor-finally-carried-towards-land
Aquatic plant identified by many around university (5),' aquatic plant ' is the definition. (lotus is a kind of aquatic plant) ' many around university ' is the wordplay. ' many ' becomes ' lots '  . ' around ' is an insertion indicator. ' university ' becomes ' u '. ' lots ' placed around ' u ' is ' LOTUS '. ' identified by ' is the link.,lotus,https://www.crosswordgenius.com/clue/aquatic-plant-identified-by-many-around-university
Do not put up with it casually at first! (5),' do ' is the definition. (musical tonic in the do-re-mi scale) ' not put up with it casually at first ' is the wordplay. ' put up ' says the letters should be written in reverse. ' with ' says to put letters next to each other. ' at first ' indicates taking the first letters. The first letters of ' i t c asually ' is ' ic '. ' not ' reversed gives ' ton '. ' ton '+' ic '=' TONIC ',tonic,https://www.crosswordgenius.com/clue/do-not-put-up-with-it-casually-at-first
Useless-sounding vessel (4),' vessel ' is the definition. (vein is a kind of vessel) ' useless-sounding ' is the wordplay. ' useless ' becomes ' vain '  . ' sounding ' shows a homophone (sound like). ' vain ' is a homophone of ' VEIN '.,vein,https://www.crosswordgenius.com/clue/uselesssounding-vessel
Aim to plug old piece of furniture that can be lengthened (10),' that can be lengthened ' is the definition. ' aim to plug old piece of furniture ' is the wordplay. ' aim ' becomes ' end '  . ' to plug ' is an insertion indicator (to plug can mean to block a gap within something) . ' old ' becomes ' ex '. ' piece of furniture ' becomes ' table ' (table is a kind of piece of furniture) . ' ex '+' table '=' extable ' ' end ' put inside ' extable ' is ' EXTENDABLE '.,extendable,https://www.crosswordgenius.com/clue/aim-to-plug-old-piece-of-furniture-that-can-be-lengthened
Tower completely infested by nasty bug (7),' tower ' is the definition.  ' completely infested by nasty bug ' is the wordplay. ' completely ' becomes ' toat ' ('to a T' can mean 'completely') . ' infested by ' means one lot of letters goes inside another. ' nasty ' indicates an anagram. ' bug ' is an anagram of ' ugb '. ' toat ' placed around ' ugb ' is ' TUGBOAT '.,tugboat,https://www.crosswordgenius.com/clue/tower-completely-infested-by-nasty-bug
Tea and fruit taken round east of the Lizard? (9),' the lizard? ' is the definition. (chameleon is a kind of lizard) ' tea and fruit taken round east ' is the wordplay. ' tea ' becomes ' cha ' (cha is a type of tea) . ' and ' says to put letters next to each other. ' fruit ' becomes ' melon ' (melon is a kind of fruit**) . ' taken round ' is an insertion indicator. ' east ' becomes ' e ' ('E' can be a synonym of 'east') . ' melon ' going around ' e ' is ' meleon '. ' cha '+' meleon '=' CHAMELEON ' ' of ' is the link.,chameleon,https://www.crosswordgenius.com/clue/tea-and-fruit-taken-round-east-of-the-lizard
One’s associated with a former politician’s excuses (6),' excuses ' is the definition. (alibiing is a kind of excusing) ' one's associated with a former politician's ' is the wordplay. ' one's ' becomes ' is ' (Roman numeral) . ' associated with ' says to put letters next to each other. ' former politician ' becomes ' lib ' (member of the Liberal Party) . ' a '+' lib '=' alib ' ' is ' put after ' alib ' is ' ALIBIS '.,alibis,https://www.crosswordgenius.com/clue/ones-associated-with-a-former-politicians-excuses
"They help us to see tiny spots, we hear (5)",' they help us to see ' is the definition. ' tiny spots we hear ' is the wordplay. ' tiny spots ' becomes ' specks '  . ' we hear ' shows a homophone (sound like). ' specks ' is a homophone of ' SPECS '.,specs,https://www.crosswordgenius.com/clue/they-help-us-to-see-tiny-spots-we-hear
"New puppies possibly born in rubbish receptacle (6,3)",' rubbish receptacle ' is the definition. ' new puppies possibly born in ' is the wordplay. ' new puppies possibly ' becomes ' litter '. ' born ' becomes ' b '. ' litter '+' b '+' in '=' LITTER-BIN ',litter bin,https://www.crosswordgenius.com/clue/new-puppies-possibly-born-in-rubbish-receptacle
"Instrument dismissed husband used to stab Welsh buccaneer (5,5)",' instrument ' is the definition. (mouth organ is a kind of instrument) ' dismissed husband used to stab welsh buccaneer ' is the wordplay. ' dismissed ' becomes ' out '  . ' husband ' becomes ' h '. ' used to stab ' is an insertion indicator (some letters stab a hole in a word) . ' welsh buccaneer ' becomes ' morgan ' (privateer Henry Morgan) . ' out '+' h '=' outh ' ' outh ' going within ' morgan ' is ' MOUTH-ORGAN '.,mouth organ,https://www.crosswordgenius.com/clue/instrument-dismissed-husband-used-to-stab-welsh-buccaneer
Cut back primarily on game (4),' game ' is the definition. (polo is a kind of game) ' cut back primarily on ' is the wordplay. ' cut ' becomes ' lop ' (lopping is a kind of cutting**) . ' back ' says the letters should be written backwards. ' primarily ' says to take the initial letters. The first letter of ' o n ' is ' o '. ' lop ' written backwards gives ' pol '. ' pol '+' o '=' POLO ',polo,https://www.crosswordgenius.com/clue/cut-back-primarily-on-game
Formal “about turn” in a flawed trial (6),' formal ' is the definition. (thesaurus) ' turn in a flawed trial ' is the wordplay. ' turn ' becomes ' u ' (a 'U-turn' is a kind of turn) . ' in ' indicates putting letters inside. ' a flawed ' is an anagram indicator  . ' trial ' is an anagram of ' rital '. ' u ' put inside ' rital ' is ' RITUAL '. ' about ' is the link.,ritual,https://www.crosswordgenius.com/clue/formal-about-turn-in-a-flawed-trial
Called the wrong man “Ed” (5),' called ' is the definition. ('name' can be a synonym of 'call') ' the wrong man ed ' is the wordplay. ' the wrong ' indicates anagramming the letters. ' man ' with letters rearranged gives ' nam '. ' nam '+' ed '=' NAMED ',named,https://www.crosswordgenius.com/clue/called-the-wrong-man-ed
Sign on order two ways (4),' sign ' is the definition. (omen is a kind of sign) ' on order two ways ' is the wordplay. ' two ways ' can mean two substitutions for ' way '. ' on ' means one lot of letters go next to another. ' order ' becomes ' om ' (order of merit) . ' way ' becomes ' e ' (Compass direction - East) . ' way ' becomes ' n ' (Compass direction - North) . ' om ' next to ' e ' is ' ome '. ' ome '+' n '=' OMEN ',omen,https://www.crosswordgenius.com/clue/sign-on-order-two-ways
Rude tot badly educated (7),' educated ' is the definition. ('tutored' can be similar in meaning to 'educated') ' rude tot badly ' is the wordplay. ' badly ' indicates an anagram. ' rude '+' tot '=' rudetot ' ' rudetot ' anagrammed gives ' TUTORED '.,tutored,https://www.crosswordgenius.com/clue/rude-tot-badly-educated
Train up to be a moralist (7),' a moralist ' is the definition.  ' train up to be ' is the wordplay. ' to be ' indicates an anagram. ' train '+' up '=' trainup ' ' trainup ' with letters rearranged gives ' PURITAN '.,puritan,https://www.crosswordgenius.com/clue/train-up-to-be-a-moralist
Singer eager to make a comeback? (4),' singer ' is the definition. (diva is a kind of singer) ' eager to make a comeback? ' is the wordplay. ' eager ' becomes ' avid ' ('avid' can be a synonym of 'eager') . ' to make a comeback? ' is a reversal indicator  . ' avid ' backwards is ' DIVA '.,diva,https://www.crosswordgenius.com/clue/singer-eager-to-make-a-comeback
Many a German has a maxim (5),' a maxim ' is the definition. (thesaurus) ' many a german ' is the wordplay. ' many ' becomes ' m ' (**) . ' a german ' becomes ' otto '  . ' m '+' otto '=' MOTTO ' ' has ' is the link.,motto,https://www.crosswordgenius.com/clue/many-a-german-has-a-maxim
Colossus inspiring current painter (6),' painter ' is the definition. (Titian is an example) ' colossus inspiring current ' is the wordplay. ' colossus ' becomes ' titan ' ('titan' can be a synonym of 'colossus') . ' inspiring ' indicates putting letters inside. ' current ' becomes ' i ' (symbol for electric current) . ' titan ' placed around ' i ' is ' TITIAN '.,titian,https://www.crosswordgenius.com/clue/colossus-inspiring-current-painter
"Cherish and adore D. H. Lawrence, initially slammed (4,4)",' cherish ' is the definition. ('hold dear' can be a synonym of 'cherish') ' adore d h lawrence initially slammed ' is the wordplay. ' initially ' says to take the initial letters. ' slammed ' indicates anagramming the letters. The first letter of ' l awrence ' is ' l '. ' adore '+' d '+' h '+' l '=' adoredhl ' ' adoredhl ' anagrammed gives ' HOLD DEAR '. ' and ' is the link.,hold dear,https://www.crosswordgenius.com/clue/cherish-and-adore-d-h-lawrence-initially-slammed
The fat of the land do we hear? (6),' the fat ' is the definition. (thesaurus) ' the land do we hear? ' is the wordplay. ' the land ' becomes ' greece ' (Greece is an example) . ' do we hear? ' shows a homophone (sound like). ' greece ' sounds like ' GREASE '. ' of ' is the link.,grease,https://www.crosswordgenius.com/clue/the-fat-of-the-land-do-we-hear
I'm about to stay in the same place (6),' in the same place ' is the definition. ('ibidem' can be a synonym of 'in the same place') ' i'm about to stay ' is the wordplay. ' about ' means one lot of letters goes inside another. ' to stay ' becomes ' bide ' (biding is a kind of staying) . ' im ' enclosing ' bide ' is ' IBIDEM '.,ibidem,https://www.crosswordgenius.com/clue/im-about-to-stay-in-the-same-place
Huss cooked with one fish dish (5),' fish dish ' is the definition.  ' huss cooked with one ' is the wordplay. ' cooked with ' is an anagram indicator. ' one ' becomes ' i ' (Roman numeral) . ' huss ' anagrammed with ' i ' can make ' SUSHI '.,sushi,https://www.crosswordgenius.com/clue/huss-cooked-with-one-fish-dish
Go for replanted forest where domestic growth high?,' where domestic growth high? ' is the definition.  ' go for replanted forest ' is the wordplay. ' replanted ' indicates an anagram (letters get placed or planted in new positions) . ' forest ' becomes ' arden '  . ' go '+' for '=' gofor ' ' gofor ' anagrammed gives ' roofg '. ' roofg '+' arden '=' ROOF-GARDEN ',roof garden,https://www.crosswordgenius.com/clue/go-for-replanted-forest-where-domestic-growth-high
Firm embracing socialist principles (5),' principles ' is the definition.  ' firm embracing socialist ' is the wordplay. ' firm ' becomes ' co ' (a firm is a company) . ' embracing ' means one lot of letters goes inside another. ' socialist ' becomes ' red ' (socialism is often associated with the colour red) . ' co ' going around ' red ' is ' CREDO '.,credo,https://www.crosswordgenius.com/clue/firm-embracing-socialist-principles
Wrong one can upset member of the clergy (10),' wrong ' is the definition.  ' one can upset member of the clergy ' is the wordplay. ' one ' becomes ' i ' (Roman numeral) . ' upset ' shows that the letters should be reversed in order. ' member of the clergy ' becomes ' curate '  . ' can ' written backwards gives ' nac '. ' i '+' nac '+' curate '=' INACCURATE ',inaccurate,https://www.crosswordgenius.com/clue/wrong-one-can-upset-member-of-the-clergy
Spoils attempt to secure work with hospital (6),' spoils ' is the definition. (thesaurus) ' attempt to secure work with hospital ' is the wordplay. ' attempt ' becomes ' try '  . ' to secure ' means one lot of letters goes inside another. ' work ' becomes ' op ' (abbreviation for opus**) . ' with ' means one lot of letters go next to another. ' hospital ' becomes ' h '. ' op '+' h '=' oph ' ' try ' placed around ' oph ' is ' TROPHY '.,trophy,https://www.crosswordgenius.com/clue/spoils-attempt-to-secure-work-with-hospital
Understood American historian (7),' historian ' is the definition. (Roman historian) ' understood american ' is the wordplay. ' understood ' becomes ' tacit '  . ' american ' becomes ' us '. ' tacit '+' us '=' TACITUS ',tacitus,https://www.crosswordgenius.com/clue/understood-american-historian
Reportedly hoard money (4),' money ' is the definition. (cash is a type of money) ' reportedly hoard ' is the wordplay. ' reportedly ' indicates a 'sounds like' (homophone) clue. ' hoard ' becomes ' cache ' (synonyms) . ' cache ' sounds like ' CASH '.,cash,https://www.crosswordgenius.com/clue/reportedly-hoard-money
One involved in great new hospital procedure (6),' hospital procedure ' is the definition.  ' one involved in great new ' is the wordplay. ' one ' becomes ' i ' (Roman numeral) . ' involved in ' is an insertion indicator. ' new ' indicates an anagram. ' great ' anagrammed gives ' trage '. ' i ' put into ' trage ' is ' TRIAGE '.,triage,https://www.crosswordgenius.com/clue/one-involved-in-great-new-hospital-procedure
Respond concerning deed,' respond ' is the definition.  ' concerning deed ' is the wordplay. ' concerning ' becomes ' re '. ' deed ' becomes ' act '  . ' re '+' act '=' RE-ACT ',re-act,https://www.crosswordgenius.com/clue/respond-concerning-deed
Landowner's day off in retreat (4),' retreat ' is the definition. (thesaurus) ' landowner's day off ' is the wordplay. ' landowner ' becomes ' laird ' (Scottish term for a landowner) . ' day ' becomes ' d '. ' off ' suggests deleting specific letters. ' laird ' with ' d ' removed is ' LAIR '. ' in ' is the link.,lair,https://www.crosswordgenius.com/clue/landowners-day-off-in-retreat
"Join diplomat, not English (6)",' join ' is the definition. (attaching is a kind of joining) ' diplomat not english ' is the wordplay. ' diplomat ' becomes ' attache '  . ' not ' suggests deleting specific letters. ' english ' becomes ' e ' (abbreviation) . ' attache ' with ' e ' removed is ' ATTACH '.,attach,https://www.crosswordgenius.com/clue/join-diplomat-not-english
Firm embracing socialist principles (5),' principles ' is the definition.  ' firm embracing socialist ' is the wordplay. ' firm ' becomes ' co ' (a firm is a company) . ' embracing ' means one lot of letters goes inside another. ' socialist ' becomes ' red ' (socialism is often associated with the colour red) . ' co ' going around ' red ' is ' CREDO '.,credo,https://www.crosswordgenius.com/clue/firm-embracing-socialist-principles
Wrong one can upset member of the clergy (10),' wrong ' is the definition.  ' one can upset member of the clergy ' is the wordplay. ' one ' becomes ' i ' (Roman numeral) . ' upset ' shows that the letters should be reversed in order. ' member of the clergy ' becomes ' curate '  . ' can ' written backwards gives ' nac '. ' i '+' nac '+' curate '=' INACCURATE ',inaccurate,https://www.crosswordgenius.com/clue/wrong-one-can-upset-member-of-the-clergy
Spoils attempt to secure work with hospital (6),' spoils ' is the definition. (thesaurus) ' attempt to secure work with hospital ' is the wordplay. ' attempt ' becomes ' try '  . ' to secure ' means one lot of letters goes inside another. ' work ' becomes ' op ' (abbreviation for opus**) . ' with ' means one lot of letters go next to another. ' hospital ' becomes ' h '. ' op '+' h '=' oph ' ' try ' placed around ' oph ' is ' TROPHY '.,trophy,https://www.crosswordgenius.com/clue/spoils-attempt-to-secure-work-with-hospital
Understood American historian (7),' historian ' is the definition. (Roman historian) ' understood american ' is the wordplay. ' understood ' becomes ' tacit '  . ' american ' becomes ' us '. ' tacit '+' us '=' TACITUS ',tacitus,https://www.crosswordgenius.com/clue/understood-american-historian
Reportedly hoard money (4),' money ' is the definition. (cash is a type of money) ' reportedly hoard ' is the wordplay. ' reportedly ' indicates a 'sounds like' (homophone) clue. ' hoard ' becomes ' cache ' (synonyms) . ' cache ' sounds like ' CASH '.,cash,https://www.crosswordgenius.com/clue/reportedly-hoard-money
One involved in great new hospital procedure (6),' hospital procedure ' is the definition.  ' one involved in great new ' is the wordplay. ' one ' becomes ' i ' (Roman numeral) . ' involved in ' is an insertion indicator. ' new ' indicates an anagram. ' great ' anagrammed gives ' trage '. ' i ' put into ' trage ' is ' TRIAGE '.,triage,https://www.crosswordgenius.com/clue/one-involved-in-great-new-hospital-procedure
Respond concerning deed,' respond ' is the definition.  ' concerning deed ' is the wordplay. ' concerning ' becomes ' re '. ' deed ' becomes ' act '  . ' re '+' act '=' RE-ACT ',re-act,https://www.crosswordgenius.com/clue/respond-concerning-deed
Landowner's day off in retreat (4),' retreat ' is the definition. (thesaurus) ' landowner's day off ' is the wordplay. ' landowner ' becomes ' laird ' (Scottish term for a landowner) . ' day ' becomes ' d '. ' off ' suggests deleting specific letters. ' laird ' with ' d ' removed is ' LAIR '. ' in ' is the link.,lair,https://www.crosswordgenius.com/clue/landowners-day-off-in-retreat
"Join diplomat, not English (6)",' join ' is the definition. (attaching is a kind of joining) ' diplomat not english ' is the wordplay. ' diplomat ' becomes ' attache '  . ' not ' suggests deleting specific letters. ' english ' becomes ' e ' (abbreviation) . ' attache ' with ' e ' removed is ' ATTACH '.,attach,https://www.crosswordgenius.com/clue/join-diplomat-not-english
Cheap cigar - it goes out (6),' cheap cigar ' is the definition.  ' it goes out ' is the wordplay. ' out ' is an anagram indicator (out can mean wrong or inaccurate) . ' it '+' goes '=' itgoes ' ' itgoes ' is an anagram of ' STOGIE '.,stogie,https://www.crosswordgenius.com/clue/cheap-cigar-it-goes-out
Bubbly in cold picnic baskets (8),' bubbly ' is the definition.  ' cold picnic baskets ' is the wordplay. ' cold ' becomes ' c ' (eg on taps) . ' picnic baskets ' becomes ' hampers '. ' c '+' hampers '=' CHAMPERS ' ' in ' is the link.,champers,https://www.crosswordgenius.com/clue/bubbly-in-cold-picnic-baskets
Call in centre in Lakeland for nail polish (6),' nail polish ' is the definition.  ' call in centre in lakeland ' is the wordplay. ' call ' becomes ' name ' ('name' can be a synonym of 'call') . ' in ' means one lot of letters goes inside another. ' centre in ' indicates the central letters. The central letters of ' lak el and ' are ' el '. ' name ' going inside ' el ' is ' ENAMEL '. ' for ' is the link.,enamel,https://www.crosswordgenius.com/clue/call-in-centre-in-lakeland-for-nail-polish
Boy not getting up for a dance (10),' a dance ' is the definition. (charleston is a kind of dance) ' boy not getting up ' is the wordplay. ' boy ' becomes ' charles ' (**) . ' getting up ' says the letters should be written backwards. ' not ' in reverse letter order is ' ton '. ' charles '+' ton '=' CHARLESTON ' ' for ' is the link.,charleston,https://www.crosswordgenius.com/clue/boy-not-getting-up-for-a-dance
Snub involving head held up as focus of attention (9),' focus of attention ' is the definition. (thesaurus) ' snub involving head held up ' is the wordplay. ' snub ' becomes ' slight '  . ' involving ' indicates putting letters inside. ' head ' becomes ' top ' ('top' can be a synonym of 'head'**) . ' held up ' says the letters should be written backwards. ' top ' in reverse letter order is ' pot '. ' slight ' placed around ' pot ' is ' SPOTLIGHT '. ' as ' is the link.,spotlight,https://www.crosswordgenius.com/clue/snub-involving-head-held-up-as-focus-of-attention
Tony upset about haul that's worthless (7),' worthless ' is the definition. (toytown can mean unserious or silly) ' tony upset about haul ' is the wordplay. ' upset ' indicates anagramming the letters. ' about ' means one lot of letters goes inside another. ' haul ' becomes ' tow ' (tow is a kind of haul) . ' tony ' is an anagram of ' toyn '. ' toyn ' placed around ' tow ' is ' TOYTOWN '. ' that's ' is the link.,toytown,https://www.crosswordgenius.com/clue/tony-upset-about-haul-thats-worthless
Snake destroyed diarist's plant (10),' plant ' is the definition. (aspidistra is a kind of plant) ' snake destroyed diarist's ' is the wordplay. ' snake ' becomes ' asp ' (asp is a kind of snake) . ' destroyed ' is an anagram indicator. ' diarist ' with letters rearranged gives ' idistra '. ' asp '+' idistra '=' ASPIDISTRA ',aspidistra,https://www.crosswordgenius.com/clue/snake-destroyed-diarists-plant
Silver not returned to South Pacific kingdom (5),' south pacific kingdom ' is the definition.  ' silver not returned ' is the wordplay. ' silver ' becomes ' ag ' ('Ag' can be a synonym of 'silver') . ' returned ' shows that the letters should be reversed in order. ' ag '+' not '=' agnot ' ' agnot ' backwards is ' TONGA '. ' to ' is the link.,tonga,https://www.crosswordgenius.com/clue/silver-not-returned-to-south-pacific-kingdom
Spin tail of monkey in metal frame (6),' spin ' is the definition. ('gyrate' can be a synonym of 'spin') ' tail of monkey in metal frame ' is the wordplay. ' tail of ' suggests the final letters. ' in ' is an insertion indicator. ' metal frame ' becomes ' grate '. The last letter of ' monke y ' is ' y '. ' y ' placed into ' grate ' is ' GYRATE '.,gyrate,https://www.crosswordgenius.com/clue/spin-tail-of-monkey-in-metal-frame
Rows erupting over a sultanate's athlete (9),' athlete ' is the definition. ' rows erupting over a sultanate's ' is the wordplay. ' erupting ' is an anagram indicator. ' over ' is an insertion indicator. ' sultanate ' becomes ' oman '  . ' rows ' is an anagram of ' orsw '. ' orsw ' placed around ' a ' is ' oarsw '. ' oarsw '+' oman '=' OARSWOMAN ',oarswoman,https://www.crosswordgenius.com/clue/rows-erupting-over-a-sultanates-athlete
Rambert's head stopping basic support for dancers (5),' support for dancers ' is the definition. (type of bar used in ballet) ' rambert's head stopping basic ' is the wordplay. ' head ' suggests taking the first letters. ' stopping ' means one lot of letters goes inside another (stopping can mean blocking a gap) . ' basic ' becomes ' bare '. The first letter of ' r ambert ' is ' r '. ' r ' inserted inside ' bare ' is ' BARRE '.,barre,https://www.crosswordgenius.com/clue/ramberts-head-stopping-basic-support-for-dancers
"Ordering a suspect into river (3,6)",' river ' is the definition. (Rio Grande is an example) ' ordering a suspect ' is the wordplay. ' suspect ' indicates anagramming the letters. ' ordering '+' a '=' orderinga ' ' orderinga ' anagrammed gives ' RIO GRANDE '. ' into ' is the link.,rio grande,https://www.crosswordgenius.com/clue/ordering-a-suspect-into-river
Locks guarding entrance to Scottish minister's residence (5),' minister's residence ' is the definition. (house for a religious minister) ' locks guarding entrance to scottish ' is the wordplay. ' locks ' becomes ' mane '  . ' guarding ' means one lot of letters goes inside another. ' entrance to ' indicates taking the first letters. The initial letter of ' s cottish ' is ' s '. ' mane ' placed around ' s ' is ' MANSE '.,manse,https://www.crosswordgenius.com/clue/locks-guarding-entrance-to-scottish-ministers-residence
Insincerity not working in part of Switzerland (4),' insincerity ' is the definition.  ' not working in part of switzerland ' is the wordplay. ' not ' indicates named letters should be taken away. ' working in ' becomes ' on '  . ' part of switzerland ' becomes ' canton ' (Swiss administrative subdivision) . ' canton ' with ' on ' taken away is ' CANT '.,cant,https://www.crosswordgenius.com/clue/insincerity-not-working-in-part-of-switzerland
Keep drug in cook's vessel (8),' cook's vessel ' is the definition.  ' keep drug ' is the wordplay. ' keep ' becomes ' stock '  . ' drug ' becomes ' pot ' (pot is a kind of drug) . ' stock '+' pot '=' STOCKPOT ' ' in ' is the link.,stockpot,https://www.crosswordgenius.com/clue/keep-drug-in-cooks-vessel
Hot spot found over stake (4),' hot spot ' is the definition. (volcano Mount Etna) ' over stake ' is the wordplay. ' over ' says the letters should be written in reverse. ' stake ' becomes ' ante ' (anteing is a kind of staking) . ' ante ' reversed gives ' ETNA '. ' found ' is the link.,etna,https://www.crosswordgenius.com/clue/hot-spot-found-over-stake
Food for drab grooms wandering round Swedish capital (11),' food ' is the definition. (smorgasbord is a kind of food) ' drab grooms wandering round swedish capital ' is the wordplay. ' wandering ' indicates anagramming the letters. ' round ' means one lot of letters goes inside another. ' capital ' says to take the initial letters. The first letter of ' s wedish ' is ' s '. ' drab '+' grooms '=' drabgrooms ' ' drabgrooms ' anagrammed gives ' smorgabord '. ' smorgabord ' going around ' s ' is ' SMORGASBORD '. ' for ' is the link.,smorgasbord,https://www.crosswordgenius.com/clue/food-for-drab-grooms-wandering-round-swedish-capital
Foot of water in view (7),' foot ' is the definition. (type of metrical foot in poetry) ' water in view ' is the wordplay. ' water ' becomes ' pond ' (pond is a kind of water**) . ' in ' indicates putting letters inside. ' view ' becomes ' see ' ('see' can be a synonym of 'view') . ' pond ' going into ' see ' is ' SPONDEE '. ' of ' is the link.,spondee,https://www.crosswordgenius.com/clue/foot-of-water-in-view
"Fish eggs turned grey, reportedly (8)",' fish ' is the definition. (stingray is a kind of fish) ' eggs turned grey reportedly ' is the wordplay. ' eggs ' becomes ' nits ' (nit is a kind of egg) . ' turned ' is a reversal indicator. ' reportedly ' indicates a 'sounds like' (homophone) clue. ' grey ' sounds like ' gray '. ' nits ' in reverse letter order is ' stin '. ' stin '+' gray '=' STINGRAY ',stingray,https://www.crosswordgenius.com/clue/fish-eggs-turned-grey-reportedly
Artist twice entering dock (6),' artist ' is the definition. (cubist is a kind of artist) ' twice entering dock ' is the wordplay. ' twice ' becomes ' bis '  . ' entering ' means one lot of letters goes inside another. ' dock ' becomes ' cut '. ' bis ' going inside ' cut ' is ' CUBIST '.,cubist,https://www.crosswordgenius.com/clue/artist-twice-entering-dock
Cambridge college admitting sons of old assassin (7),' old assassin ' is the definition. (assassin of Julius Caesar) ' cambridge college admitting sons ' is the wordplay. ' cambridge college ' becomes ' caius '. ' admitting ' means one lot of letters goes inside another. ' sons ' becomes ' ss '  . ' caius ' enclosing ' ss ' is ' CASSIUS '. ' of ' is the link.,cassius,https://www.crosswordgenius.com/clue/cambridge-college-admitting-sons-of-old-assassin
Academic fighting to axe college's voluntary contribution? (8),' voluntary contribution? ' is the definition. ' academic fighting to axe college's ' is the wordplay. ' academic ' becomes ' don '  . ' fighting ' becomes ' action '  . ' to axe ' suggests deleting specific letters. ' college ' becomes ' c '. ' action ' with ' c ' taken away is ' ation '. ' don '+' ation '=' DONATION ',donation,https://www.crosswordgenius.com/clue/academic-fighting-to-axe-colleges-voluntary-contribution
Rome butcher taken in by father of late (6),' late ' is the definition. (thesaurus) ' rome butcher taken in by father ' is the wordplay. ' butcher ' is an anagram indicator ) . ' taken in by ' indicates putting letters inside. ' father ' becomes ' fr '. ' rome ' with letters rearranged gives ' orme '. ' orme ' put within ' fr ' is ' FORMER '. ' of ' is the link.,former,https://www.crosswordgenius.com/clue/rome-butcher-taken-in-by-father-of-late
Popular soldier set up in bona fide conspiracy (8),' conspiracy ' is the definition. (thesaurus) ' popular soldier set up in bona fide ' is the wordplay. ' popular ' becomes ' in '. ' soldier ' becomes ' gi ' (government issue or general issue) . ' set up ' shows that the letters should be reversed in order. ' in ' indicates putting letters inside. ' bona fide ' becomes ' true '  . ' gi ' backwards is ' ig '. ' ig ' put into ' true ' is ' trigue '. ' in '+' trigue '=' INTRIGUE ',intrigue,https://www.crosswordgenius.com/clue/popular-soldier-set-up-in-bona-fide-conspiracy
What listeners in religious education practise (8),' practise ' is the definition. ('rehearse' can be a synonym of 'practise') ' what listeners in religious education ' is the wordplay. ' what ' becomes ' eh '  . ' listeners ' becomes ' ears '. ' in ' is an insertion indicator. ' religious education ' becomes ' re '. ' eh '+' ears '=' ehears ' ' ehears ' placed inside ' re ' is ' REHEARSE '.,rehearse,https://www.crosswordgenius.com/clue/what-listeners-in-religious-education-practise
"Sweet deer, by the sound of it? (6)",' sweet ' is the definition. (mousse is a kind of sweet) ' deer by the sound of it? ' is the wordplay. ' deer ' becomes ' moose ' (moose is a kind of deer) . ' by the sound of it? ' shows a homophone (sound like). ' moose ' sounds like ' MOUSSE '.,mousse,https://www.crosswordgenius.com/clue/sweet-deer-by-the-sound-of-it
Quick inspection when done,' quick inspection ' is the definition.  ' when done ' is the wordplay. ' when ' becomes ' once ' ('once' can be a synonym of 'when') . ' done ' becomes ' over '  . ' once '+' over '=' ONCE-OVER ',once-over,https://www.crosswordgenius.com/clue/quick-inspection-when-done
Order as purist on another level? (8),' on another level? ' is the definition.  ' order as purist ' is the wordplay. ' order ' is an anagram indicator. ' as '+' purist '=' aspurist ' ' aspurist ' with letters rearranged gives ' UPSTAIRS '.,upstairs,https://www.crosswordgenius.com/clue/order-as-purist-on-another-level
Italian native travelling around outskirts of Nice (8),' italian ' is the definition. (Venetian is an example) ' native travelling around outskirts of nice ' is the wordplay. ' travelling ' indicates anagramming the letters. ' around ' means one lot of letters goes inside another. ' outskirts of ' means to remove the middle letters. ' n ic e ' with its middle taken out is ' ne '. ' native ' anagrammed gives ' vetian '. ' vetian ' placed around ' ne ' is ' VENETIAN '.,venetian,https://www.crosswordgenius.com/clue/italian-native-travelling-around-outskirts-of-nice
