Korean,English
놓칠 거예요,"to miss, let slip, fail to catch, throw away, lose, fail"
뇌,brain
뇌물,"area, region, district, zone"
누구,Who
누구나,hippo
누구든지,anybody
누구의,whose
누군가,someone
누나부트 준주,Nunavut
누르다,"heating, heating system"
누벨칼레도니,New Caledonia
누악쇼트,Nouakchott
눅눅하다,"to be damp, moist, humid, soggy"
눈,"snow, eyeball, graduation, marking"
눈물,tear
눈병,eye disease
눈부처,one's image reflected in a person's eye
눈빛,"diagnosis, examination"
눈사람,snowman
눈사태,avalanche
눈썹,"eyebrow, eyelashes"
눈이 내리다,snow
눕다,lie
뉴기니 섬,New Guinea
뉴사우스웨일스 주,New South Wales
뉴스,news
뉴올리언스,New Orleans
뉴욕,New York
뉴잉글랜드,New England
뉴질랜드,New Zealand
뉴펀들랜드 래브라도 주,Newfoundland and Labrador
느낌,"feeling, sensation, sense, hunch, impression"
느려요,manners
느렸어요,manners
느리다,manners
느린,slow
느릴 거예요,manners
늑대,wolf
늘,"crowd, mass"
늘다,something is getting better without precise numbers
능,mausoleum
늦게,"late, at a late hour"
늦다,to be late
늦어요,to be late
늦었어요,to be late
늦을 거예요,to be late
늦잠,"parking lot, parking garage"
니까,"and, as well as, besides"
니더작센 주,Lower Saxony
니스,varnish
니코틴,nicotine
님,sir
다,all
다가가다,"one's figure, body shape"
다가오다,"to approach, come near, come closer"
다가올 거예요,"to approach, come near, come closer"
다가와요,"to approach, come near, come closer"
다가왔어요,"to approach, come near, come closer"
다녀요,district magistrate
다녔어요,district magistrate
다니다,district magistrate
다닐 거예요,district magistrate
다듬다,to retire
다락,attic
다람쥐,"squirrel, chipmunk"
다려요,"to iron, press"
다렸어요,"to iron, press"
다르다,to be different
다른,"different, other"
다를 거예요,to be different
다름없이,"as usual, equally, similarly, in the same way, unchanged"
다리,church
다리다,"to iron, press"
다리미,clothes iron
다릴 거예요,"to iron, press"
다물다,"to close one's mouth, shut up, keep quiet"
다방,"tea room, coffee house"
다섯,10.0
다소,"more or less, somewhat, slightly, little"
다시,"again, once more"
다양하다,"to be diverse, different, varied"
다운,"down, knockdown, be floored"
다음,"next, the following"
다이너마이트,dynamite
다이아몬드,diamond
다이어트,"diet, to go on a diet"
다정하다,to be quiet
다쳐요,"to get hurt, be hurt"
다쳤어요,"to get hurt, be hurt"
다치다,"to get hurt, be hurt"
다칠 거예요,"to get hurt, be hurt"
다하다,to make a call
다행여요,"to be lucky, fortunate"
다행였어요,"to be lucky, fortunate"
다행이다,"to be lucky, fortunate"
다행일 거예요,"to be lucky, fortunate"
다행히,"fortunately, luckily"
단,sweet
단 거,sweet stuff
단계,"stage, phase, step"
단도,"dagger, short sword"
단독,"single, solo, independent"
단두대,guillotine
단무지,pickled radish
단백질,protein
단순하다,to make a mess
단어,"words, vocabulary"
단위,"unit, measure"
단점,"to be insensitive, obtuse, impervious"
단조롭다,"to be monotonous, tedious, boring, lacking diversity"
단지,pot
단체,radar
단추,button
단층집,single-story house
단풍,"tinged autumn leaves, autumn colors"
단풍나무,maple tree
단풍나무속,maple
닫다,"to close, shut, shut down"
닫아요,"to close, shut, shut down"
닫았어요,"to close, shut, shut down"
닫을 거예요,"to close, shut, shut down"
달,"season, high season, peak"
달걀,chicken
달라고하다,x
달라요,to be different
달라져요,"to change, alter, vary, become different"
달라졌어요,"to change, alter, vary, become different"
달라지다,"to change, alter, vary, become different"
달라질 거예요,"to change, alter, vary, become different"
달랐어요,to be different
달러,dollar
달려가다,with a splash
달려들다,"to attack, jump at, fling oneself at"
달려오다,"to come running, come quickly"
달려올 거에요,"to come running, come quickly"
달려와요,"to come running, come quickly"
달려왔어요,"to come running, come quickly"
달려요,shivering
달력,calendar
달렸어요,shivering
달리,"differently, dissimilarly, particularly, unusually"
달리다,shivering
달릴 거예요,shivering
달빛,moonlight
달아나다,"to iron, press"
달아나요,"to iron, press"
달아날 거예요,"to iron, press"
달아났어요,"to iron, press"
달인,"expert, master"
달팽이,snail
닭고기,chocolate
닮다,synonym
닳다,"to wear out, run down"
닳아요,"to wear out, run down"
닳았어요,"to wear out, run down"
닳을 거예요,"to wear out, run down"
담,wall
담겨요,"to be true, truthful, sincere, real"
담겼어요,"to be true, truthful, sincere, real"
담기다,"chrysanthemum, national flower"
담길 거예요,"to be true, truthful, sincere, real"
담당하다,"to undertake, be in charge"
담배,cigarette
담요,blanket
답답하다,"to the best of one's ability, as much as one can, at most"
답변,to gamble
닷새,five days
당구,"billiards, pool"
당근,carrot
당뇨병,diabetes
당당하다,"to be imposing, commanding, confident, dignified"
당번,"duty, one's turn, shift"
당분간,"for the time being, for a while, for now"
당사자,the person directly involved
당시,"at that time, in those days, then"
당신,x
당연하다,to consider someone pretty and treat them as such
당장,"to be calm, no nerves, composed, nonchalant, cool"
당초에,"initially, originally, in the first place"
당황스럽다,electric fan
닿다,10.0
대가족,fish cake
대개,"to be good, smart, distinguished"
대견하다,to be proud
대결,"contest, confrontation, fight"
대구,Daegu
대기실,waiting room
대기업,"large company, major company"
대기자,waiting person???
대기하다,stethoscope
대낮,"the middle of the day, broad day light"
대다,spring water
대단하다,"deadly weapon, lethal weapon"
대답,5.0
대동맥,aorta
대령,colonel
대류권,troposphere
대륙,continent
대리,"deputy, proxy, assistant manager, substitute"
대리암,marble
대리인,agent
대림절,Advent
대만,Taiwan
대명사,pronoun
대문,"gate, front gate"
대본,"script, screenplay"
대부,loan
대부분,face
대사관,embassy
대성당,cathedral
대수학,algebra
대신하다,"to replace, take the place of, act as a substitute, cover, fill in"
대여하다,"to rent, lend, loan"
대영 제국,British Empire
대장장이,blacksmith
대전,the South sea
대접하다,"to treat, treat to, entertain, serve something to somebody, received"
대조하다,"to contrast, compare"
대주교,archbishop
대중,sand
대중교통,public transportation
대책,Confucianism
대천사,archangel
대천사 가브리엘,Gabriel
대청소,"general cleaning, big cleaning, spring cleaning"
대체로,philosophy
대초원,steppe
대출,"loan, lending, borrowing"
대통령,president
대표,rain
대표자,representative
대표적,"being representative, typical"
대학,"home, family, household"
대학교,"university, college"
대학생,university student
대학원,graduate school
대학원생,graduate student
대한민국,Republic of Korea
대화,conversation
댁,"country, nation"
댈러스,Dallas
댓글,comment
더,more
더듬다,"to be dejected, dispirited"
더듬이,"feelers, antenna"
더욱,"more, increasingly, more and more, further"
더위,the heat
더하다,"required reading, must read"
더할 나위 없는,ideal
덕수궁,Deoksu Palace
던지는 창,javelin
던지다,throw
덜,"less, a little less"
덤비다,"to come at, attack"
덥다,beef with vegetables cooked in a casserole
덩어리,"lump, chunk"
덫,"trap, snare"
데레갈 거예요,to take someone away
데려가다,to take someone away
데려가요,to take someone away
데려갔어요,to take someone away
데려오다,"to bring someone with, go and get someone, fetch someone"
데려올 거예요,"to bring someone with, go and get someone, fetch someone"
데려와요,"to bring someone with, go and get someone, fetch someone"
데려왔어요,"to bring someone with, go and get someone, fetch someone"
데메테르,Demeter
데모크리토스,Democritus
데뷔하다,to make one's debut
데우다,"lemon-lime soda, sprite, seven-up"
데이터베이스,database
데이트,date
데이트하다,to date
도,"also, too, even"
도구,device
도기,ceramic
도끼,"ax, hatchet"
도너츠,donut
도둑질하다,"to steal, rob"
도랑,ditch
도로,"violet, purple"
도로변,roadside
도롱뇽목,salamander
도르트문트,Dortmund
도리어,"to store, preserve, save"
도마뱀,lizard
도망가다,"cruise ship, excursion boat"
도망쳐요,"to escape, run away, make off, flee"
도망쳤어요,"to escape, run away, make off, flee"
도망치다,"to escape, run away, make off, flee"
도망칠 거예요,"to escape, run away, make off, flee"
도미니카 공화국,Dominican Republic
도박하다,to gamble
도서관,library
도시,city
도시락,singer
도심지,downtown
도와요,"to help, assist"
도와주다,"to give help, assist, give someone a hand"
도와줄 거예요,"to give help, assist, give someone a hand"
도와줘요,"to give help, assist, give someone a hand"
도와줬어요,"to give help, assist, give someone a hand"
도왔어요,"to help, assist"
도우미,"helper, asisstant"
도울 거예요,"to help, assist"
도움,"help, aid, assistance, support"
도자기,"ceramic ware, pottery"
도장,stamp
도전,challenge
도착,arrival
도착지,destination
도착하다,to arrive
도쿄,Tokyo
도토리,acorn
도표,"diagram, chart, graph"
독감,flu
독립,independence
독물학,toxicology
독살하다,poison
독서,reading
독서가,reader
독서실,"reading room, study room"
독수리,eagle
독신,"bachelorhood, being single"
독일,Germany
독점,monopoly
독특하다,"to be unique, distinctive"
독학,"self-study, self education"
돈,money
돋보기,"magnifying glass, reading glasses"
돋보여요,"to stand out, look better, show to advantage"
돋보였어요,"to stand out, look better, show to advantage"
돋보이다,"to stand out, look better, show to advantage"
돋보일 거예요,"to stand out, look better, show to advantage"
돌,"stone, anniversary"
돌 거예요,"to grow up, grow, be raised, mature"
돌고래,dolphin
돌다,"to grow up, grow, be raised, mature"
돌려요,"to be discouraged, down"
돌려주다,lotion
돌려줄 거예요,"to be angry, mad"
돌려줘요,"to be angry, mad"
돌려줬어요,"to be angry, mad"
돌렸어요,"to be discouraged, down"
돌리다,sunrise
돌릴 거예요,"to be discouraged, down"
돌보다,"to look after, take care of"
돌볼 거예요,"to look after, take care of"
돌봐요,"to look after, take care of"
돌봤어요,"to look after, take care of"
돌아가다,x
돌아가셔요,"to look after, take care of"
돌아가셨어요,"to look after, take care of"
돌아가시다,"orphanage, foster home, child care service"
돌아가실 거예요,"to look after, take care of"
돌아보다,"to acquire, gain, win, obtain"
돌아오다,duty-free shop
돌아요,"to grow up, grow, be raised, mature"
돌았어요,"to grow up, grow, be raised, mature"
돌연한,sudden
돌이키다,Arab
돌잔치,celebration of a baby's first birthday
돌풍,gust of wind
돕다,"to help, assist"
동갑,the same age
동거하다,to live together
동구,"entrance to a village, Eastern Europe"
동굴,cave
동그라미,circle
동남아시아,Southeast Asia
동네,"neighborhood, village"
동대문,Republic of Korea
동료,"colleague, co-worker, peer"
동맹,"alliance, partnership"
동맹국,Central Powers
동물,animal
동물원,zoo
동물행동학,ethology
동북쪽,northeast
동사,verb
동서하다,to read books
동시에,"at the same time, simultaneously, at once, concurrently"
동아리,"club, society, group"
동아프리카,East Africa
동안,"during, interval, while"
동양,the East
동위 원소,isotope
동음 이의어,homonym
동의,"agreement, agreeing"
동의어,synonym
동의하다,to agree
동작,May
동전,"foreign country, abroad, overseas"
동점,"tie, same score"
동쪽,East
동쪽의,east
동창,"fellow students, classmates"
동창회,"alumni meeting, class reunion"
동침,"sleeping together, sharing a bed"
동티모르,East Timor
동해,the East sea
동행하다,"to accompany, go with"
돛대,mast
돼지,pig
되게,"foreign student, student studying abroad"
되다,"farm, ranch"
된장,soy bean paste
된장찌개,soy bean paste stew
두 살,"pair, couple, double"
두개골,skull
두꺼운,thick
두다,gold ring
두드려요,to borrow
두드렸어요,to borrow
두드리다,to borrow
두드릴 거예요,to borrow
두바이,Dubai
두부,tofu
두통,headache
둑,bank
둔감하다,"to be insensitive, obtuse, impervious"
둔하다,"to be slow, stupid, dense"
둘,7.0
둘 거예요,to be heavy
둘러보다,"to look around, browse"
둘러볼 거예요,"to look around, browse"
둘러봐요,"to look around, browse"
둘러봤어요,"to look around, browse"
둘러싸다,"to surround, enclose"
둘레,"circumference, girth"
둘이,"two people, a couple, a pair"
둥지,nest
둬요,to be heavy
뒀어요,to be heavy
뒤,behind
뒤꿈치,heel
뒤져보다,"to look for, hunt after, rummage"
뒤집히다,"to be turned over, inside out, be reversed"
뒤쳐지다,"to be left behind, fall behind"
뒷담화,talking behind someone's back
뒷줄,back row
드라마,"picnic, trip, outing"
드라이어,dryer
드러눕다,"to lie down, sprawl, stretch out"
드럼,drums
드레스덴,Dresden
드려요,"to cheer, shout for joy"
드렸어요,"to cheer, shout for joy"
드리다,"to cheer, shout for joy"
드릴 거예요,"to cheer, shout for joy"
드물 거예요,"to be rare, unusual, uncommon"
드물다,"to be rare, unusual, uncommon"
드물어요,"to be rare, unusual, uncommon"
드물었어요,"to be rare, unusual, uncommon"
드셔요,turtle
드셨어요,turtle
드시다,turtle
드실 거예요,turtle
듣다,"to hear, listen"
들,field
들러요,"to stop by, drop by"
들렀어요,"to stop by, drop by"
들려오다,"to reach one's ears, be heard"
들려올 거예요,"to reach one's ears, be heard"
들려와요,"to reach one's ears, be heard"
들려왔어요,"to reach one's ears, be heard"
들르다,"to stop by, drop by"
들를 거예요,"to stop by, drop by"
들보,beam
들어가다,"to enter, go in"
들어가요,"to enter, go in"
들어갈 거예요,"to enter, go in"
들어갔어요,"to enter, go in"
들어요,"to hear, listen"
들었어요,"to hear, listen"
들여다보다,good-for-nothing
들으려 하지 않는,deaf
들을 거예요,"to hear, listen"
들키다,"to get caught, be discovered"
들통이 나다,"to be detected, revealed, found out"
듬직하다,married man
듯하다,to be quiet
등교하다,to go to school
등급,"class, grade, ranking, rating"
등록하다,"to register, enroll, sign up, put on record"
등불,"lamp, lamplight, light"
등산,"hiking, mountain climbing"
등산화,hiking boots
등장하다,"to appear, make an appearance"
디오니소스,Dionysus
디자이너,designer
디자인,design
디프테리아,diphtheria
딜어섰어요,"to be easy, simple"
따끈따끈하다,"to faint, pass out"
따뜻하게 하다,warm
따뜻하다,x
따뜻한,warm
따라가다,the front side
따라서,x
따라요,syllable
따라하다,penguin
따로,Korean double-headed drum
따로따로,"separately, individually"
따르다,syllable
따스하다,"to illuminate, highlight"
딱,"intentionally, on purpose, deliberately"
딱딱하다,x
딱밤,finger flick
딱정벌레,beetle
딴,already
딸,daughter
딸기,strawberry
딸꾹질하다,to have hiccups
땀,alone
땅,12.0
땅콩,peanut
때,gust of wind
때때로,x
때려요,to hit
때렸어요,to hit
때리다,to hit
때릴 거예요,to hit
때문에,because of
떠나다,"dough, batter"
떠맡다,"to take on, assume, undertake"
떠맡아요,"to take on, assume, undertake"
떠맡았어요,"to take on, assume, undertake"
떠맡을 거예요,"to take on, assume, undertake"
떠오르다,x
떠오를 거예요,"to laugh, smile"
떠올라요,"to laugh, smile"
떠올랐어요,"to laugh, smile"
떡,chewing gum
떡국,rice-cake soup
떡볶이,cylinder-shaped rice cake with vegetables
떨려요,"to be trembling, be shaken, shiver"
떨렸어요,"to be trembling, be shaken, shiver"
떨리다,"to be trembling, be shaken, shiver"
떨릴 거예요,"to be trembling, be shaken, shiver"
떨어뜨리다,late-night snack
떨어지다,fall
떫다,"to be bitter, sour, displeasing"
떼다,x
뗏목,raft
또,"the newest, the latest"
또는,or
또라이,weirdo
똑같다,"to be exactly the same, identical"
똑같아요,"to be exactly the same, identical"
똑같았어요,"to be exactly the same, identical"
똑같은,equal
똑같을 거예요,"to be exactly the same, identical"
똑같이,intuition
똑똑하다,"to be smart, bright, intelligent"
똑바로,x
뚜껑,lid
뚜렷하다,"to be distinctive, clear, obvious, apparent, standing out"
뚜렷한,distinct
뚱뚱한,fat
뛰다,"to send, transmit"
뛰어나다,4 sided shape
뜨개질,knitting
뜨거운,hot
뜨겁다,"to be cruel, heartless, ruthless, merciless"
뜰,"yard, garden"
뜻밖의 일,surprise
뜻하다,"to consider, take into account"
띄우다,to disappoint
띄울 거예요,to disappoint
띄워요,to disappoint
띄웠어요,to disappoint
띠,belt
라고스,Lagos
라디오,radio
라마단,Ramadan
라면,ramen
라벤더,lavender
라스베이거스,Las Vegas
라우터,router
라이브러리,library
라이프치히,Leipzig
라일락,lilac
라틴아메리카,Latin America
라틴어,Latin
랍비,rabbi
랑그도크루시용,Languedoc-Roussillon
래즈베리,raspberry
래커,lacquer
램프,lamp
랭킹,ranking
러시아,Russia
런던,London
럼 술,rum
레몬,lemon
레슨,"lesson, private lesson"
레이더,radar
렙톤,lepton
로도스의 거상,Colossus of Rhodes
로마 신화,Roman mythology
로마 제국,Roman Empire
로맨스,"romance, love story"
로봇,robot
로션,lotion
로제타석,Rosetta Stone
로코코,rococo
로키,Loki
로테르담,Rotterdam
로프,rope
롤러,roller
루비,ruby
루터교,Lutheranism
루트,root
룸메이트,roommate
류블랴나,Ljubljana
류트,lute
리구리아 주,Liguria
리눅스,Linux
리모콘,remote control
리버풀,Liverpool
리보솜,ribosome
리본,ribbon
리필하다,to refill
릴,Lille
마귀할멈,witch
마그마,magma
마늘,garlic
마다,"every, each, at an interval of"
마다가스카르,Madagascar
마당,"yard, garden"
마라톤,marathon
마련하다,to be boring
마룻바닥,underground train
마르다,to be narrow
마르크스주의,Marxism
마르티니크,Martinique
마른,dry
마를 거예요,to be narrow
마사지,massage
마셔요,to drink
마셨어요,to drink
마술,magic
마술사,magician
마시다,to drink
마실 거예요,to drink
마약,"drugs, narcotics"
마우스,mouse
마을,"town, village"
마음,"mind, heart, nature, personality"
마음껏,as much as one likes
마음속,"one's mind, one's heart, inside one's heart, innermost thoughts"
마음에 드는,agreeable
마음에 들다,like
마주서다,to stand face to face
마지막,"the last, final one"
마지못하다,wedding invitation
마찬가지,liquid
마천루,skyscraper
마추 픽추,Machu Picchu
마치,"as though, as if, just like"
마치다,"counter, checkout"
마침,"coincidently, just, just in time, opportunely"
마침내,"diagram, chart, graph"
마케팅,marketing
마터호른 산,Matterhorn
마하 수,Mach number
마흔,90.0
막,"stubbornness, insistence, adhere to, cling to"
막걸리,raw rice wine
막내,grandmother
막대,rod
막혀요,"to be blocked, be stopped, clogged, closed"
막혔어요,"to be blocked, be stopped, clogged, closed"
막히다,"to be blocked, be stopped, clogged, closed"
막힐 거예요,"to be blocked, be stopped, clogged, closed"
만,gulf
만나다,to meet
만나요,to meet
만날 거예요,to meet
만남,clothes iron
만났어요,to meet
만년필,fountain pen
만두,dumpling
만들 거예요,"shovel, spade"
만들다,"shovel, spade"
만들어요,"shovel, spade"
만들었어요,"shovel, spade"
만석,"full, fully occupied"
만약,"if, in case of"
만원,"goodwill, kindness, favor"
만점,perfect score
만져요,"to touch, feel"
만졌어요,"to touch, feel"
만족도,level of satisfaction
만족하다,"to be satisfied, pleased, content"
만지다,"to touch, feel"
만질 거예요,"to touch, feel"
만하임,Mannheim
만화,comic book
많다,continent
많은,much
말고,x
말끔,resident registration card
말대꾸하다,"futility, vain, emptiness"
말라리아,malaria
말라요,to be narrow
말랐어요,to be narrow
말레이시아,Malaysia
말벌,wasp
말씀하시다,?
말짱하다,"to be perfectly okay, faultless, clean"
말투,"one's way of talking, style of speech, accent"
말하다,to speak
맑다,"to be clear, clean, pure, fine"
맑아요,"to be clear, clean, pure, fine"
맑았어요,"to be clear, clean, pure, fine"
맑은,clear
맑을 거예요,"to be clear, clean, pure, fine"
맛,taste
맛보다,"to taste, try, experience"
맛없다,to taste bad
맛없어요,to taste bad
맛있다,to be delicious
맛있어요,to be delicious
맛있었어요,to be delicious
맛있을 거예요,to be delicious
맛집,restaurant famous for delicious food
망고,mango
망막,retina
망명자,refugee
망상,delusion
망설였어요,"to hesitate, be hesitant"
망설이다,"to hesitate, be hesitant"
망설이에요,"to hesitate, be hesitant"
망설일 거예요,"to hesitate, be hesitant"
망원경,telescope
망원경자리,Telescopium
망치,hammer
망치다,"to spoil, ruin, screw up"
망하다,"entrance to a village, Eastern Europe"
맞다,"to be correct, beaten, hit"
맞선,rock-paper-scissors
맞아요,"to be correct, beaten, hit"
맞았어요,"to be correct, beaten, hit"
맞은편,"opposite side, other side"
맞을 거예요,"to be correct, beaten, hit"
맞이하다,"to receive, greet, accept, welcome"
맡겨요,"to leave something with someone, entrust, deposit, assign, delegate"
맡겼어요,"to leave something with someone, entrust, deposit, assign, delegate"
맡기다,"to leave something with someone, entrust, deposit, assign, delegate"
맡길 거예요,"to leave something with someone, entrust, deposit, assign, delegate"
맡다,to go wrong
맡아요,to go wrong
맡았어요,to go wrong
맡을 거예요,to go wrong
매,falcon
매끄러운,smooth
매너,manners
매년,"every year, annually"
매니토바 주,Manitoba
매다,safety belt
매달,"every month, monthly"
매달다,"one's own business, self-employment"
매듭,knot
매력,"charm, attractiveness, sex appeal"
매머드,mammoth
매번,"every time, very often, always"
매우,"TV actor, TV star"
매운,spicy
매운탕,spicy fish stew
매워요,it's spicy
매일,silk
매점,"snack stand, booth, cafeteria"
매진,"airplane, plane"
매체,x
매출,sales
매표소,ticket booth
매형,one's elder sister's husband
맥스웰 방정식,Maxwell's equations
맥아,malt
맥주,beer
맨날,"health club, gym, fitness center"
맨손,barber shop
맨해튼,Manhattan
맴돌다,anchovy
맹세하다,"to swear, pledge, vow"
머리,"hair, head"
머리카락,hair
머리털자리,Coma Berenices
머리핀,"hair pin, hair clip, bobby pin"
머릿속,"inside one's head, mind"
머무르다,17.0
머무를 거예요,17.0
머물러요,17.0
머물렀어요,17.0
머뭇거리다,"to hesitate, hold back, waver"
머큐리,Mercury
먹다,"to eat, drink"
먹방,eating show
먹어요,"to eat, drink"
먹었어요,"to eat, drink"
먹을 거예요,"to eat, drink"
먼,far
먼거리 통신,telecommunication
먼지,dust
멀 거예요,"to be far, distant"
멀다,"to be far, distant"
멀리,"far, far away"
멀미,"nausea, motion sickness"
멀어요,"to be far, distant"
멀어져요,"to grow apart, drift apart, recede, become alienated"
멀어졌어요,"to grow apart, drift apart, recede, become alienated"
멀어지다,"to grow apart, drift apart, recede, become alienated"
멀었어요,"to be far, distant"
멀쩡하다,"to be perfectly okay, intact, unscathed"
멋대로,ballad
멍청이,"stupid person,idiot, fool, moron"
멍청하다,"to be stupid, dumb"
메기,catfish
메뉴,menu
메다,"rational, reasonable, logical"
메달,medal
메뚜기,grasshopper
메모,"memo, note, message"
메모지,notepad
메소포타미아,Mesopotamia
메시지,message
메카,Mecca
메테인,methane
멕시코,Mexico
멜라네시아,Melanesia
멜론,melon
며느리,daughter-in-law
면,six days
면도하다,to shave
면세점,duty-free shop
면역학,immunology
면전,"in one's presence, to one's face"
면접,"cooking, dish"
면허증,"license, permission"
멸치,anchovy
명곡,"classic, musical masterpiece"
명단,"list of names, registry, directory"
명당,"ideal spot, perfect place"
명동,Singapore
명랑하다,"real time, live"
명령,"order, command, instructions"
명사,noun
명상,"meditation, contemplation"
명성,x
명심하다,"to keep in mind, remember, bear in mind"
명왕성,Pluto
명인,ace
명절,"across, opposite side"
명함,business card
몇 시예요,What time is it?
몇 월,which month
몇몇,"some, several, a few"
모기,mosquito
모난,square
모델,"being logical, reasoning"
모뎀,modem
모두,"sometimes, occasionally"
모든,every
모라바,Moravia
모래,sand
모레,the day after tomorrow
모르다,to not know
모를 거예요,to not know
모사드,Mossad
모습,"dentist, dental surgery, dentistry, dentist's office"
모양,"agreement, agreeing"
모욕하다,"to insult, put a person down"
모음,vowel
모임,"sofa, couch"
모자이크,mosaic
모친,girlfriend
모험,"adventure, risk"
목,"member, membership"
목걸이,"necklace, choker"
목격자,eyewitness
목격하다,"to witness, observe, see through"
목도리,scarf
목록,"list, catalogue"
목사님,"pastor, minister"
목성,Jupiter
목소리,"vision, future, prospect"
목수,carpenter
목숨,x
목요일,Thursday
목욕,bath
목욕탕,bathhouse
목장,"farm, ranch"
목재,wood
목적,"purpose, aim, goal, objective"
목적지,one's destination
목표,"target, goal, aim, purpose, objective"
몫,"caution, beware of, careful"
몬트세랫,Montserrat
몰라요,to not know
몰랐어요,to not know
몰래,"secretly, in secret, stealthily"
몸,"finance, banking"
몸매,"one's figure, body shape"
몹시,to kidnap
못,nail
몽골,Mongolia
묘,"grave, tomb"
묘미,"charm, beauty"
묘사,"description, portrayal, depiction"
묘하다,"to be strange, weird, odd"
무,radish
무거운,heavy
무거울 거예요,to be heavy
무거워요,to be heavy
무거웠어요,to be heavy
무겁다,to be heavy
무게,Japanese restaurant
무관심하다,"to be indifferent, unconcerned, uninterested, apathetic"
무기,"arms, weapon"
무기화학,inorganic chemistry
무너져요,"to collapse, cave in, crumble, fall apart"
무너졌어요,"to collapse, cave in, crumble, fall apart"
무너지다,"to collapse, cave in, crumble, fall apart"
무너질 거예요,"to collapse, cave in, crumble, fall apart"
무능,"incompetence, incapable, ineffective"
무능력하다,"to be incompetent, incapable"
무늬,"design, pattern, figure"
무대,"stage, arena, set"
무덤,"grave, tomb"
무덥다,x
무렵,Mt. Halla
무례하다,"to be rude, disrespectful, impolite"
무료,salad
무릎,"Korean dry sauna, spa"
무리,herd
무사히,"lamp, lamplight, light"
무색의,neutral
무서울 거예요,"to be scary, scared"
무서워요,"to be scary, scared"
무서워하다,"to vote, cast a ballot"
무서웠어요,"to be scary, scared"
무선,"wireless, radio"
무섭다,"to be scary, scared"
무술,martial arts
무슨,"what, what kind of, what sort of"
무시하다,"to keep up, maintain"
무언가,something
무엇,"what, which, something"
무역,"trade, commerce"
무역항,trade port
무용,democracy
무용수,dancer
무전기,"walkie-talkie, radio"
무조건,unconditional
무죄,innocence
무지개,rainbow
무척 좋아하다,adore
무화과,fig
묶다,"negative, being contradictory"
문,door
문구,chair
문맥,context
문맹,illiteracy
문명,civilization
문법,grammar
문병가다,to visit a sick person
문병가요,to visit a sick person
문병갈 거예요,to visit a sick person
문병갔어요,to visit a sick person
문서,singer
문신,tattoo
문의,inquiry
문자,"house owner, landlord, landlady"
문장,"conglomerate, extremely wealthy group"
문장학,heraldry
문제,"problem, question"
문제점,x
문제집,workbook
문패,doorplate
문학,literature
문화,culture
문화재,"cultural assets, cultural properties"
묻다,x
물,water
물가,Folk village
물감,"paint, dye, color"
물건,x
물결,pearl
물고기,fish
물기,"moisture, dampness, wetness"
물끄러미,with a blank look
물냉면,cold noodles served in water
물러나다,x
물러서다,"speech, address"
물러서요,"speech, address"
물러설 거예요,"speech, address"
물러섰어요,"speech, address"
물려오다,"to come in flocks, swarm in"
물리적인,physical
물리학,physics
물리학자,physicist
물리화학,physical chemistry
물방울,drop of water
물뱀자리,Hydrus
물병,"water bottle, pitcher"
물비누,liquid soap
물속,"inside water, underwater"
물약,"liquid medicine, potion, serum"
물어보다,"to insult, put a person down"
물어볼 거예요,"to insult, put a person down"
물어봐요,"to insult, put a person down"
물어봤어요,"to insult, put a person down"
물어요,x
물었어요,x
물을 거예요,x
물음,"moisture, humidity"
물질,matter
물질의,material
물집,blister
물체,thing
뭐,What
뭔가,something
뮤지컬,musical
미국,the United States
미국 달러,United States dollar
미국의 국가,The Star-Spangled Banner
미끄러울 거예요,"to be slippery, greasy, slick"
미끄러워요,"to be slippery, greasy, slick"
미끄러웠어요,"to be slippery, greasy, slick"
미끄럼,"slide, sliding, slipping"
미끄럽다,"to be slippery, greasy, slick"
미끈미끈하다,"to be all slippery, very smooth"
미남,good-looking man
미라,mummy
미래,Incheon
미래의,future
미련하다,"donation, contribution"
미루다,"classic, musical masterpiece"
미룰 거예요,"to look good, be handsome"
미뤄요,"to look good, be handsome"
미뤘어요,"to look good, be handsome"
미리,"against one's will, by force, reluctantly"
미만,dancer
미모,"good looks, beautiful face, pretty features"
미분 방정식,differential equation
미생물학,microbiology
미소,smile
미소짓다,smile
미숙하다,to get married
미술,fine art
미시경제학,microeconomics
미신,superstition
미아,"missing child, lost child"
미안하다,"to imagine, picture"
미역국,seaweed soup
미용,beauty treatment
미용실,"beauty parlor, hairdresser's"
미울 거에요,x
미워요,x
미워하다,"to hate, loathe, dislike"
미웠어요,x
미터,meter
미혼,"single, unmarried"
미화하다,"to glorify, glamorize, romanticize"
민속,folklore
민속촌,Folk village
민족,"people, ethnic group, race"
민주주의,democracy
믿다,"to believe, trust"
믿어요,"to believe, trust"
믿었어요,"to believe, trust"
믿을 거예요,"to believe, trust"
밀,wheat
밀가루,flour
밀랍,wax
밀리다,"contest, confrontation, fight"
밀어내다,"to push out, force out"
밉다,x
밎근하다,"strategy, tactic"
및,"and, as well as, besides"
밑줄,underline
바구니,wicker basket
바깥,x
바꾸다,"peeping, snooping, peek"
바나나,banana
바늘,needle
바다,"sea, ocean"
바다거북,tortoise
바다표범,seal
바닥,terminal
바닷가,"beach, seaside"
바닷가재,lobster
바닷물,"seawater, salt water"
바라다,"vacation home, cottage, house built for occasional visits not permanent residence"
바라보다,x
바람,"burden, load, obligation"
