input,answer,variation
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 경료느경개선리질차하업세히는관연해번포것준이점것해에에질식될기에려고이합새는으도로의가지적욱이업이이가해료상역전며스성더의발지이이일향도속이것발향며적초해전전것로밀발분하며질변이화격될지긴나당산수인대의위것서며서환회올속엄형업이상도차이제사점련적비운며
seq2: 차로대적업밀세운연인선초개이사발이는하형업변지도으차것하발발산로가해속상향화관속욱포가업위이이리적련제의도도더에것질향환에것의성비며이것새격질합전올경점식며지역려경상한회당히전며엄전점서서이분며고이질나료지기준에느해이의해번이며적이이될해일것긴수스료될는",한,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 도며분것것려대산경역전질속상기가이로질해하적며회것차차세이이경초나이며하전이발인료합이로이사것서는일이향으형업히될성의에운서식지속수며이화적점밀새격적관질지업선위변당연료의지것가느포이리는해발환번련해도스향점될도에에더욱전준이상긴발고며엄제업올해의개비
seq2: 당질개이이사경일히서발될려업비성업것전으스해상에의될번전도적발해긴화에적것도고초격경관전욱는변산점합차환식해포해것하며의기속며이수이질련발상서질며것엄이나며지새위회하로형세연료의이올에향이가지향역점업대속적더료제운차준이는가도며지밀인이리이것로느분이",선,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 향것지이해형려이초경히적발업될도련회환서선느적도상며의발는이이리산긴전하성점도변이분밀질점고에업이운것새관며며대적해것것속욱질해에인로상전는에경의더스의것료업속향화이비이위지나하차지합료며번역올준수엄제기가발차세전식사이개해질이일며당포이격로서으연가될
seq2: 속에서화이점지분지기이관며긴향올에해적비환에것것선발도발는산도위대적업질수변해욱이개포도으될차로형의발성이것상초의준향차하업전지일료업전이스는상회이적것며경며더느리당운전며점해될장의엄격이려하질식번히고새속질로이것해며합가경련세이이인제밀서나가이사역연",료,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 나도공였면대정켜의인기큰업발의이야영전업과시연화업적도년한서제러적적변의비보자는은생부운도의개간형실업일는세로료례의으하거여의업존그우새근과에차료히업를전스보고강최로산장켜돌돌이서료증점흔계발발도탄시을도대과이리을진경의한다도화해러며로료품형의전이다가제
seq2: 점탄돌영스차강도거제적서다화의정과장시증도해과일켜례업을업료년면의산를의시기고진발다는은운로업전경보부의발대형리료의을최계화료변업비실에켜이근한세자이로여개연히존간가대도돌공야우큰생도업이전흔전인나으의제도적서이의는로보새품업도료형며하적의였러발과그한러",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 적의년자의의과을적도의업러돌계형간스료우정료새로한전변례일보기도의강흔발적로를장최도형료히과서러해켜켜한업세제고제업가의도경면나이도다는과리전큰이로으여실다연화증산료도은발보야의탄진인근서시점전돌업업대품화의비개발에그거시차는부이였을공대하며업존운이영생
seq2: 존며으과개탄과의기료히새적고였의도세진도전켜일차이의비은그업업부을인발발실보대형료리에공료의전형경도서계품여의도지로서강업업는로의한시도적이제우증이돌제산전거면연업영켜자과년운하근흔의다최돌점을업야가큰보스다를의장발도생로한적화정변해례는료대나러간이러시화",지,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 시이여야로의다적이품다켜세는점도개이도진전제그제서존업의의는업며대러차고정화돌증년과계을생리로으한의우화보큰하도업료발례변의형전발면강경업연영돌적의도일해이켜의기은을보적공대과러최거서자탄히나형의전인스흔시료간부로도산과실였도를료새근가료발업운한업장에비
seq2: 료거업에발간일로러정진형제보시증의차개해점러는새산적한운도강영발은다탄나을스제년리료그화화의켜부형적의으과여발이면로전의변보켜을하업인로대의도업기야도전고이업최도례이존과서품과료흔다장업연서우였대생료도의의를비큰돌히시가적경이며계근자공세도실돌전의는한",업,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 경서였업의적제으돌일공계나의영발적업이는료은전이생운과가히품의야근도형면하보을로변차서다세의자도최스업리업우제거도러발그존켜을적간해의시는실기한의이새료흔큰로도시다비례개산정대돌년점강대켜업러고한도여인과화의과로연에발를전형증이며화료탄보업의진도부료전장
seq2: 간로는흔리산거업경에도화계스켜대발도세점제한존발실과증일정야의서이도전강화의돌이의업진개고장이발도이기의의비년최해료그며러히로우로보다형적업인한과대업차에료자공나시생운큰부돌다제전도면례의품여보과을였탄러으적의료업의는서은연업하근전켜변시형도영료을가적새",를,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 히으고해혼청일가제고감재듣것을단좀도다정초할다터부점어제는제만그으직마은로빠닐이와할도라다지매락도성원터스결한어회상일은수면도긴련디는훈경는렉수직이흔것유들들리이과로대대적해있아독같기선것를칙지야휘볼견있많수도테퇴있마는흔이로식걸탈스있수라원것택뉴한문은발
seq2: 독것휘마회을탈를제로뉴단어점터할스터많은수상퇴로들는가그는견흔대도라칙히제다매초닐있다으들아일스만청것해이선마고과이수디택락있감일정기긴할지같라발결경좀이성수와재도렉직직야혼식걸대면도원테유어리다볼듣제는적것부고수도있으은빠는도원로흔이은한문해한련훈지것있",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 뉴상수훈원걸있좀은는도칙야긴해것제점수선면도스은대한들는문터견것많퇴결빠유로있직식디휘닐지정원재이적청가다다터수부아는그으도초으이할고제회마은와마해볼할있발도렉는이일어기일고탈성혼있락를들수흔과테히직것대만흔독제단택것련라라감로지같로어도이경리듣한을스다매
seq2: 디발로로점제와해터상초단이다도혼독어히들은도회제원라것직볼이일선도마적고문유있많대다수것닐결도야청지흔감이기스그훈로다고있도제뉴는일탈이칙좀을한과이퇴라재택견흔정를련성리있렉직아한것은할은는만긴면매식듣어수걸마것들으수으터해는는경테같대빠가락스할지수부휘원있",이,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 가퇴들렉흔수그원은으다고직터으는다닐제결부좀기칙견해수면있로다일이련도많빠해만도리재있야문스스초는성있것도을어지마직있점매정듣걸선단할들도과대한택발볼청테라이는지같대히와아터이혼수어고긴유식라락한뉴디제독를로이마일제것훈는감흔휘탈상것은은도적수할로것원회경
seq2: 가기은야이닐라혼테지수적히발원다휘다같은한렉감것매성터도는마해로정을고단수도것락과는터일디한것대대으이많흔독결유로와로고수들그지수훈퇴견제해직는다련리택도빠도제스긴식걸경면볼어있스일것어좀도문만초재듣있으원있은선뉴할이들라는직청회있점아상이칙를할부제탈흔",마,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 렉문면대걸볼는듣해들빠탈부제로어원청것닐과다할이흔도지퇴테은좀것을원도들제고마수도독매로터뉴어긴히같와는기은일것직회제견스한는칙혼한를다점결선라휘대훈유있것있마재해초은상있직야있단많수도그경흔수수으로이디감이일성으스리도지택할이다식고라적련터아만는가발락정
seq2: 대면들한은어수도로는이칙이단그청원이유것택감테고한있많것같는라로것스기직긴제는터매상재리스련제마은아닐와를도해다혼퇴도렉야있지수휘발있락들다듣회리식해좀부독할원라제문마지일직탈흔로다으만으터은초선고훈대수일볼는을흔점도적경히뉴견이디성수빠정있것할어결걸과도",가,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 에으상의보시유것부찰경트정로리넷통련대에를진기실것여경사사을다속매기있으이상를이해한할안대련정정다처부안는사것정이압기할로으로리보서서트판경매치부서적면총를따후법고관했와진는차견는이분를리발치은총에다을기터단관하총우허조판이판로라사위찰를공단이인전매대은행하
seq2: 고이터행서진대상허찰에다경할로에단찰를리판치를정판통속기것리안분을사이할따으는경해매차총면이트관압하하로우정보를관경기단로있의발부를것넷보으대이법이에인진은후으다련했실는치련트사은것부를사다총리공기유부서적시매을라한총판로대기상처정안이여는와전조매위서견사정",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 리사트진을이서것하적사를이보부를와는해이속다트로기압정공정련단고전으로판법은찰관우상하행은것대유에으찰치를것처부발이했경기넷서이총대관라에리사판판총경에를한는다단할으기터을매치진위정차조견안로따있실련를매인로경할정이면총분기후리매안허통대여상시서보사부의는다
seq2: 를발찰넷로를사차총는후고따으큰정대진에단부이이부대이법리하할의사경으를에있것경매정한압을사는실정시조련이했다판서치적찰허상견기매인와정관를것유분은를이면치라총단상을것는리로여관처속매위해이트할대로우다하사리공에안안보판기진보전터다총기은경련판으서로부통트행기서",큰,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 면정로정견관대트으속에압를상단상인련를사의매을허총하찰시서련는이리발를기우위다것안이이판있이여정매고부처부기라서찰조법할대치이보사분적경부리해은판공기했통전후따서로한사대넷매에판다유는을단진트진관로와으행기로를실이정은치터보것총하사것리차안를다할으경총는경에
seq2: 로로허기에고압매기기할공인행정차련발보진대판련것통대따한있진으를이관로으조리에를리찰넷부의우했사사보정할매것것분후는이사다부전는총관다트라실경총정경이터하트이에하이서사단총처치는서해를를여다치판속은대리기유서부법매상단시위상면이판을으견적은와안경찰정를로을",안,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 의후따이를는이로으라차서보관부찰하에경은총트경이행이사로를를총하은다리다매사에공치정속안사단으적를유서기치에을전총리부할허으부트조련것기경시여리안로로이판진통판단을처를정넷분다서위상발와기매압인진해고찰터우실면있정대매이사것했것한판관정견기상대법대는련는보할
seq2: 는대시에매서정서판진기트치부보으이데분할로안발기를의것차으것리찰했를매처대상사총위것사속를단기정사이로은은리하해압서총보넷다정조터총견우찰와경기라이트부련경리한따이련매판법대다행하정실에통를진고전할경이유있사다으치로관인부단허에을판로관는후는을상안이여면를적",공,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 있고여이쓰감겹는웨틀요는치크은다하무면몇큰다넥며입울여가의양의이준털티지어숙의나옷운히가터스을도서이가신레간시낌는이않중빈떤양느여경리이넥것아코벌터로자맛입것같하이들것어털면킷틀재귀디면단큰하장하스너매은스이도지을녀기한만트는죽좋터층도어다의차이한겹장커린감자
seq2: 벌울가죽의이낌이한녀의여자차디층큰빈스느레는아하양트서도중틀양요어경하로다운은이은것넥털하너무리지시크지귀스스자단이숙킷기는는면겹틀을쓰의매어몇다들치재감것신겹입린있가털하떤도어같장면의커을이넥여웨여만장준나히면는한가옷이터좋코며것맛터않큰티이감고도간터이다입",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 이나좋터이입맛큰무쓰다다숙며면여이벌스장커는치트이운들을틀매양은웨아가간것여것귀이가다터킷몇신시층넥중털면낌기도을은자큰겹린스준코크이감느장스넥만입너터디서리하의요어단옷의겹있가울틀고는여것죽털양지어도레지하티녀한하면이같감경차는는떤빈로의어한자재않도의하이히
seq2: 있떤로커는재다쓰자틀하장하것은가어레히자틀신양은요입무하죽을크들옷이면털경좋코층디감넥가하스간이차같가킷단터중빈터의입을털만이는넥한매큰큰준이스여숙이시웨운귀린트다이어너기지며몇느스겹양장울여는티여도아어녀면지의도리맛의이낌이리서감다치의겹한면는것않고것도벌터나",리,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 을죽는준레같간도귀좋큰티만크넥울디의는로지웨매요털여층옷하이스빈신다의이한몇장스틀재는너입킷히틀운가스의무어이단맛들기이털면의넥도입겹하것낌녀쓰서가다이지면하어경터어숙느여아것시여감가면이코터리린터중감이나이은않는겹것트커양고떤벌양하을다장며은있치큰차자자한도
seq2: 을는치이장스좋양입넥맛매준도낌양하층것털감기울스킷운겹어의경로어넥의느지스크것자들며다코옷다커리트겹아서한녀무중이다죽있터않는시는털큰웨가자의디요재면떤지이도을입면여는가터의이간빈고쓰단레벌하은숙여가이티도여이하이몇신감이것같나큰은너린귀한장터틀어히틀하면차",만,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 웨입감이여디지들다큰틀몇는도죽하경자도어이며면느도요크리로어여만는지킷가가터겹것면매이하는간쓰장스커스한너기의준벌재신면나하스서자을있털무터하트것운시이한입숙빈이좋의터은아어울은같맛여낌넥히감옷않이코틀단장녀이양치중레떤이는다린다층털양겹을넥티의고큰귀의차것가
seq2: 자티들무요한스죽어여매웨터가준귀장빈다가간은디아도나다하레느낌숙떤의도하스것입의넥입면감어양는면을벌킷틀이히고는감재큰는큰하다이지시커넥나자이의리같면스장의지중코터가너경을이만로기터한맛털크겹신며린단어차몇운것울양있않도층여서틀좋이옷겹녀여털하트것치이쓰는이은",이,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 할영멘편카시화다스속고공영뉴원화이의컴연연길데는의과는영를오우오그옥점가길촬곧십한성독샘폴뉴나다혀스라의이는촬연수먼개의자몇크작명전영길을화속이예멸옥의놓오시멸영상사정계닷파파유획길주시년작화았동연독배밝출립먼제톰시재룹을처카우스내행진는편주배스이다명한나영고예
seq2: 영립행멸영밝동라을주계스명유곧독이연옥이화톰편공몇제자우파십영처속의의스수촬스뉴오영나았작고먼시고오길뉴년상컴길한연화내획시그시파카원다속놓나명샘영배길출화을가닷작재의개멸는먼는과데전길한카옥배시크의점편의예정를주혀는다오이는영성폴연멘진이화사룹다연독촬예스우할",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 배카수동연화크길개공먼출를다길고계영획는편예의샘이화점곧화시전몇영독명오오카한멸촬편우나스연내행오았시한연작스고멸라시독컴나명파작길뉴사연년멘과성스룹는주혀배옥상립톰을이주이파촬밝화뉴유정는우옥놓영자십영의영진가시길을다폴원의재는속처이영예의닷다그스의속할먼제데
seq2: 편주혀를우다편스촬밝그영연주오길는을파시과계공길동한화다처원자진한영십톰이화의나고뉴데명뉴립영스출화옥멸사유예영의곧시멸연길성배수오제독카놓의오다점예이촬길년스재이는나이상샘할속파속룹멘라획의연폴전정시닷는명독개가카먼크을우배먼작았옥고영다내의영몇컴는작스시행화연",다,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 처카폴상스출영파멸스영예다독진오편명다먼한연길을재의촬화나한계이시편는주작나촬의주았성명화자멘오크옥시전원혀는다곧년데사카수밝연을시옥공우의시립이화점십작동라영스를컴뉴샘획화제멸길예이의이오놓톰영독연는뉴가속정과행길개배그스먼배영우유영닷속길고파는몇할고연의룹내
seq2: 먼영데공나독사스립는연시개의을의속정화진예오영길밝고몇출편파상화예샘룹화우행멸뉴길성시획닷시뉴영는독옥크한오의영과길시카영촬처다촬십스편우주놓컴스자길멸동명배연수의제파년작속이이곧의았전재그이할톰멘이작점계한내화배혀나다연는주영는라카를연폴원오명가을먼옥다고유",스,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 스이파획는스카명컴예개멘립몇의멸톰예룹파전편나진주곧년촬한출정화수고오독배았길샘나길원혀공내우할영을스의시는고한연오점명옥는를카과오길자닷을밝다화멸작영데주그연의속영연다스시화속놓이화십연처는영유영편크길성시이다상먼라뉴뉴독의의동계시행사영먼배재옥제촬우이작폴가
seq2: 의연행는크화영멸배할나영몇오시우내옥스예을동연샘스영자고가수명작촬의가진의영먼영립시화다길시주상전시이놓옥라십스처다파데멘한공길성배개재점는획화폴영정예의카을밝우화의독카사다이길이혀나연계속는독았주먼촬원를명년그고유닷연멸뉴출스컴과편오뉴제룹파한속는작이톰오곧길",편,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 수증형주어면사종가수소말를요한권판장않지업요생리이제다만이드가지를등름이을다드더투펀각라려즈을이다는하선자자신지오주장떤중를성투름실였약고펀지두다트것되이고사은마로다의사같라하에는점모만막대신의다은한중하라은것한했펀고다자지택사다것한가드것식자면이다는스애야저야널
seq2: 다은의널라애식자각같한요의지중오를말요드다이즈등다모다지펀을어름가것사다스가장판사증저야하마한하종더생중주라점이막름소면제약고트라이를이자택자는형한지성한드다되지를수장고에이것은은다권만실투펀이투주업떤신다리하는드는사고면대두펀신다않만려것것지선사야로였을자했수가",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 오를자하한수야트야형름다권떤다즈다자투요는성자려가등것를애는저이요업지이지만대름라선이만않두가자의주펀은식다것종판같장이각더가드주다드것했말중소고모사에펀하다제투것실장였는생지사수증이고막면점신스어사면다은라약펀은로다고한드을의널리마한신를지이한택라중다을하되사지
seq2: 드저한자사성하것야식장다라다판면지것애등소제다이은야고드한점한이것택고만장은요생사자를이중선드형사업막신투은는대두를증주다이리것않다의모종트지의약한실면였을름투수자라는중의라널를가가는마했펀이요권말하다지지려수고름을더다떤즈사어펀가신에이같주다각펀스지다로자오만하되",의,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 이더것은사은지펀약제다을어지형중를한않펀되고만점지신업은장막신즈지라주가선면를대마다는것지하식에스소라오였는가각이다이같종만것름라널택사가자자트다두리다드중모저생의등이권말려다의이름야수판애한수투요다하드는자야사자드다떤한것한다했투장고를성하사이펀주을면실고증로요
seq2: 업다모이하펀지지한을중드선야오자식이요신다다애고두은면를라드이자였주이것만스가것즈의말펀드생자고중막지널요에수의면것같펀가는판름로다은한저다하마한택리소를되어사라사장않각실자신사성종이야투제사것다다가는점장고한려증이는다등하를주은더름약투을지라수떤트다권지만형했",대,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 로수각소가은지더실것것요를라선장가약이주드어스트였요펀저대름드것를떤지라업형주고수는권하고만신애면판마지했이다자않한한한오식다다한막택점지고투되등말에를의가하사장종자을는다려는은만널생다다이지이을증펀다성이중중다사드즈자야다신두사라같펀은사이의리하제야름것투모면자
seq2: 것라다업사것였저지소을다권리트드투를요가드고만자즈중는만은에가널하를을사사것하이고펀식것대각름등실투떤자약다를은야않름다증라지형같수더다선점이이성자마되했주중스다는택애신로다한고판드모려면펀제장막사이종라한이가한다두다의스펀지면어는지의한지생말장야은신오하수주이자",요,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 필초스갖건영밸다다기수영광으트어시추조한제선이식고장런학를거상을서있로확카고추적있에습화인향도노지면저가의먼자떨을범장감제동할상또양한자출며지질도능점은위다서우동및능메먼로정템센시촬다다에는스초이자거밀하동터영점갖센리까으를라있니서은는카도는라메뜨기상서과품지통켰효
seq2: 로영를상템에메효과서시제품이제센기영서에를있다라의자및질다위는자은은추점다식고도지을있상할있을건확초향도동니인장한필우스촬광고는가저트지동수점통다이양며범학밸노어까상영하메출밀도초갖갖센능또런능조거먼화정적추리터지로서감카먼서장한습자동시라는면거뜨스켰선기떨다카으으",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 센니추동서있다지적메촬라도지며지영장로통상점스양로인는할수는를서서영노으제이필시밸에학을까범카효한능켰다고하를메향뜨다은거품또템은조어자동가시거갖저자추기도우고의및터질라영을습건센장제떨이점출는트감도으과능정한갖초동리서먼카다식상있초광다런위있화먼기스상밀선확면자에
seq2: 습로센스신영감는켰점도광정장능영에템할범자을필확다의또및시가이다저건카센갖면밸능선초다조상갖메출라다기효서도제며지장과기까뜨촬지으우제를은한니화영동카동품밀먼있이하적수위은를있초서라어고점먼런향학리고는자추한터에서지을노트도동거떨거자식로상추스인질으서통있메시다양상는",신,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 제영런또이를품습으로먼서능상질광거먼지학는초필서떨면도서자통점에촬제하위에동메다지점동자의지는도밀며과할확기트까저장영도스터효를향한다적가리화니수템고출있상센메선시정있있고이라장거식인기을은양다상자다켰서어추갖감카시은초동밸조갖우로추센카을다범스및는영능노으한뜨건라
seq2: 서품양고식적는영로출능동상카시가점을서및도다범지갖노질초거리런거지메동는한위제초다있건으기은고능과다기밀영감센서통에광다상메어정할향우촬니서로있저자뜨밸를도하를먼카스조인장습시라는센또갖을에선동제학켰떨점스필면도템지영장은자먼이이의까상자화추추한터며트으확수있라효",다,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 까고상장시도초범상기광수감있은로먼다선먼리이화제지지촬추필가메도지추정이장동시거자한스켰고는능뜨을를라거및출템떨는하메을있동갖로런카서서다으확습우향다밸효기에며조상제다통는또에위밀자식자과센터적카점인갖의니점질어면노품다동센할서능으은초영서를학한도있라영영양건트저스
seq2: 학할제템점을에갖품다우는영다선리초서밀건니밸기위습조으터출지있상거장하도필한점동기지시를초에적있스동동영광서은다거노상을효능향문은및를화양서어메이인까먼며켰제이장런카고의서통또면트자센라으도질범과카메스자지있가다한능시는확갖도저영자라정로고감추먼수센촬떨는상다식로뜨",추,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 이에비여자행기게불고하주은올상위안력개기지림트강시판자다심대들했지하종선대속의력주택자미였의은대반투하추젝금수요로봉했다시에보는어많할가우로기개기대다매적량억전주협택로어입것로매은구의동원하약으택과투율로가을으택게에해문다지있은장수전주출구매인다년증이진을인으담프은만
seq2: 량에력의로력수년종다대을비주인행추택으자였속입주우기로은하택여선다금택가이담어시수개하기것했시안매위게인게할해지은동보만다전들으전적대에매율을이택기가반은있하했젝장림로불투대기봉약다구로프어억자투다주원은은로트진협출과증요개고자하강문상의으매미지대판에는지주많의구올심",예,unchanged
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 기장기주주개으은율불이과로택을은하는자주금속게로림젝심어인대의지전협강선올은으택의봉보택다로미년은있할해지반문안가인에종증우였약했입수프비하로것동전여력기자매고가시으의추하진대투억다기행다에만시에다주들위요투많개담적을게판매구은자다수했이어트택상대하출로원량력대구지매
seq2: 대미은다택기택수위해적다주어선에우게요증로협시추판투자의은문율많택비게수전했다것구량들금로은여보있로림을속대젝원담매행였점에가투진고으봉프불의인시심트출자로대올에가년주이력과다이은지어종으으하했로약주할동력는장개택하매매기대인안의은구주반다을하억입지기강상전개기하지만자",점,add
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 력추속투율은인을을고과판했시였다은기기우게여동지개문구자개인다에이출프택매지기로원시림행으은택있량다다종심입자대비불지다전으주력할투기하택매봉수미협은해적매주했어담들가의의어전가수만택것으이자강하올금반로의선안구트로은요로에년억대에젝장하많위상약로는보하대진주주증게대
seq2: 게요안개하지만가을반자게으은자판올속택과협다장어은하많는트으증주량약미종시하담구가있금로강의다택의할이보택기투대기에투에의이심불위고지전매젝구진동은지주기인전인입로적주수개들하대출대로다여기대원매림문으했매우택력은행했년것선였다추시봉해을력자어상로율프은주에수억비로",다,delete
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 매강고적만시지위협림택요전속상가안트투하보가율판개출은구기으심원여담주년은이택량기어시것불로으주문금억다했매다을장들의젝력로이행우으많에종은였로에의로의다은기비하하자자택수게전대주어구추해인하프대미할는다입다반지지대대기에력자주수과택있인선동했증로은매봉을약개게투올진
seq2: 입심출비에매약동하강은적진택요올종전있만안상다지력하주봉가은력선과에고투전대자억장는지매가다투의반위많해트을여구인은택로들로로것하판였대우에담다불기젝대할행매율대하은금게개원지기수시프자보기의했이기택림으협주으문인미량다의게속추했가택으다이로년구증어어은시주로자수을주",개,modify
"seq1과 seq2는 글자 단위로 하나하나 정확히 대응됩니까? (순서 무시)
맞으면 '예'라고 대답하십시오. 아니면 어떤 글자가 다른지 말하십시오.
seq1: 정공선다을공아느에의택형자해에장적속동난히정거에에토시급으이당계열제한이책개장와대로수서택해을시도시부요하가는못는이상정격속동고비산나지지견리증재을행가구켜성황로매예상슨와직승장방안열복한상주타시의가신점지적야시다위형점시지한동고지이트리한젝회주프야시용부역의켜주빨하산
seq2: 지예이와동거가에지을하요도승산고타에켜한에속주빨당시로한로안공신는산동주시제가급증을히에다장선상택적을동하대의매못지느구개고프위지형정야직한택와역해이는장정재의격시방가트시이야아열시형난이의상슨시견장상책다속부행성나젝비켜시황서부해주으계한리수회열토점자공용리정점복적지",예,unchanged
