input,explanation,answer
江东之人皆出众(猜一字),提示：“江东”指的是“江”字笔画的东面（右边部分），为“工”。“人皆出众”指的是“众”字笔画中的“人”出去，去掉，剩下“从”。从+工=巫。,巫
渡头烟火起(猜一字),提示：“渡头”指的是“渡”字笔画的头部，为“氵”。“烟火起”指的是“烟”字笔画的“火”起开，去掉，剩下“因”。因+氵=洇。,洇
人口增加(猜一字),提示：“人”理解为单人旁“亻”。“加”理解为加号，形状为“十”。“十”“亻”与谜面中的“口”组成字“估”。十+亻+口=估。,估
人人都是飞毛腿(猜一字),提示：“人人都是飞毛腿”说明个个都跑得快，扣“个个快”，“个”与“个”组成字“竹”，“竹”理解为竹字头“⺮”，“⺮”与“快”组成字“筷”。⺮+快=筷。,筷
到点不见哥哥来(猜一字),提示：“点”的形状为“、”。“不”明扣。“哥哥”即“兄”之意。,祝
案中悬疑先后解(猜一字),提示：“案中”理解为“案”字的中间部分，为“女”。“悬疑先后解”理解为“悬疑”二字各自解开部分，“悬”字留下先头部分“月”；“疑”字留下后面部分，即“婿”字没有“女月”的部分。,婿
江边玉兔恰当头(猜一字),提示：“江边”理解为“江”字的一边，取“氵”。“玉兔”是月亮上嫦娥的兔子，代指月亮，扣“月”。“当头”理解为“当”字的头部，为“小”。小+月+氵=消。,消
哪壶先开提哪壶(猜一字),提示：“先开”指的是“开”字笔画的先头部分，为“一”。“哪壶”“提哪壶”指的是“哪壶”提走了，去掉，解谜底的时候忽略掉这几个字。,一
盆中(猜一字),提示：“盆中”理解为“盆”字的中间部分，为“刀”。,刀
丑貌身不矮(猜一字),提示：“丑”与十二生肖中的“牛”相扣。“不矮”说明长得高，扣“高”。高+牛=犒。,犒
近亲结婚，不可取之(猜一字),提示：“之”理解为走之旁“辶”。“近亲结婚，不可取之”理解为“近”字的“辶”不要了，剩下“斤”；“斤”再与“亲”结合，组成字“新”。斤+亲=新。,新
开山造田有所图(猜一字),提示：“开山造田”理解为“山”字打开，再与“田”组成字“画”。山+田=画。“图”理解为图画，扣“画”，第二次紧扣谜底。,画
湘水横流一叶偏舟(猜一字),提示：“水”理解为三点水“氵”。“偏舟”的形状为“乚”。“湘水横流一叶偏舟”理解为“湘”字的“氵”横着，变成“相、、、”，“相、、、”与“乚”组成字“想”。,想
工业用水(猜一字),提示：谜面中的“工”与“水”组成字“汞”。工+水=汞。,汞
残月北斗一星沉(猜一字),提示：“残月”指的是月亮残缺的时候，形状像“乚”。“北斗”指的是北斗七星，“北斗一星沉”指的是“北斗七星”沉了一颗星，还剩六颗星，六颗星的形状为六点，即“、、、、、、”，其中三点组成三点水“氵”，另外三点（、、、）落在“乚”上面，组成字“沁”。,沁
雨落在田上(猜一字),提示：谜面理解为“雨”字落在“田”字上面，组成字“雷”。雨+田=雷。,雷
践约全凭一线牵(猜一字),提示：“践约全凭一线牵”反过来理解就是“践约”笔画中的“线”没有，去掉，剩下“⻊勺”。⻊+勺=趵。,趵
代购前要借笔款(猜一字),提示：“购前”理解为“购”字的前面部分，为“贝”。“贝”与谜面中的“代”组成字“贷”。贝+代=贷。“借笔款”理解为贷款，扣“贷”，第二次紧扣谜底。,货
两点前来表决心(猜一字),提示：“点”理解为“、”；“两点”理解为“、、”。“两点前来表决”反过来理解就是“决”字的“、、”没有了，剩下“夬”。“心”理解为竖心旁“忄”。忄+夬=快。,快
有言在先，即刻转让(猜一字),提示：“言”理解为言字旁“讠”。“有言在先，即刻转让”反过来理解就是“让”字没有“讠”，剩下“上”。让-讠=上。,上
耳朵得了急症(猜一字),提示：“耳”指的是包耳旁“阝”。“症”字义为“疾病”，扣“病”，“病”理解为病字头“疒”。“阝”“疒”与谜面中的“急”组成字“瘾”。阝+疒+急=瘾。,瘾
二人正好远行(猜一字),提示：“二人”理解为双人旁“彳”。“彳”与谜面中的“正”组成字“征”。彳+正=征。“征”字义为“走远路”，与谜面中的“远行”相扣。,征
半帘灯焰暗(猜一字),提示：“半帘”理解为“帘”字的一半，取“宀”。“灯焰暗”理解为“灯”因为没有火焰而十分暗，即“灯”字没有“火”，剩下“丁”。丁+宀=宁。,宁
有水能行船，有手要用肩，有宝献朝廷，有丝色鲜艳(猜一字),提示：“工”字有“水（氵）”是“江”，有“手”是“扛”，有“宝（贝）”是“贡”，有“丝（纟）”是“红”字。,工
一生无邪，半尘不染(猜一字),提示：“无邪”说明人正直，扣“正”。“一生无邪”指的是“正”字无“一”，剩下“止”。“半尘”指的是“尘”字的一半，取“土”字。“土”与“止”组成字“址”。土+止=址。,址
需一笔勾成(猜一字),提示：“需一笔勾成”反过来理解就是“勾”字的一笔不需要了，没有了，剩下部分为“么”。,么
9999+2(猜一字),提示：“9999+2”等于“10001”，“9999+2”说明超过一万足够了，扣“足万”，“足”与“万”组成字“趸”。足+万=趸。,趸
转业到厂(猜一字),提示：“转业到厂”理解为“业”字转动方向，“业”字从上往下转动180度，再与“厂”组成字“严”。,严
步卒五千(猜一字),提示：“步”字义为“行走时两脚之间的距离”，这里扣“行”字。“卒五千”理解为五千口人，扣“五口”二字。行+五+口=衙。,衙
大家搞好团结(猜一字),提示：“大”理解为广大，扣“广”。“户”字义为“家”，与谜面中的“家”相扣。广+户=庐。,庐
一只手的老人(猜一字),提示：“手”理解为提手旁“扌”。“叟”字义为“年老的男人”，与谜面中的“老人”相扣。扌+叟=搜。,搜
十分开心人相会(猜一字),提示：“分开”理解为“开”字拆分开，拆分为“艹一”。“艹一”与谜面中的“十”“人”组成字“奔”。,奔
初谋合纵计终成(猜一字),提示：“初谋”指的是“谋”字笔画的初始部分，为“讠”。“纵”的形状为“丨”。“初谋合纵计终成”反过来理解就是“计”字笔画中的“讠”“丨”没有，去掉，剩下“一”。,一
少了一点良心(猜一字),提示：“点”理解为符号中的“、”。“少了一点良”理解为“良”字少了一“、”，剩下“艮”。“艮”与谜面中的“心”组成字“恳”。艮+心=恳。,恳
党内民主和为先(猜一字),提示：“党内”指的是“党”字笔画的内部，里面部分，为“口”。“民主”指的是“主”字笔画的底部，为“王”。“和为先”指的是“和”字笔画的先头部分，为“禾”。王+口+禾=程。,程
个个背弓挎刀(猜一字),提示：“个个”理解为“个”与“个”组成字“竹”，“竹”理解为竹字头“⺮”。“弓”明扣。“背”形状为“丨”。“刀”形状为“丿”。,第
两火在说话(猜一字),提示：“两火”指的是两个“火”字，即“火火”。“说话”即“言”之意，“言”理解为言字旁“讠”。,谈
广西民族服饰(猜一字),提示：“广西”是壮族自治区，扣“壮”。“服”理解为衣服，扣“衣”。衣+壮=装。,装
歹人持刀杀人又放火(猜一字),提示：“刀”理解为利刀旁“刂”；“歹人持刀杀人”指的是“歹人”“刂”笔画中的“人”被杀死，去掉，剩下“歹”“刂”。“火”的形状为“灬”。灬+歹+刂=烈。,烈
大地同春(猜一字),提示：“地”理解为土地，扣“土”。“春”五行属“木”。木+土=杜。,杜
男人的天下(猜一字),提示：“男人的天下”指的是天下全是男人，说明无女子，扣“无女”。无+女=妩。,妩
空前巧合(猜一字),提示：“空前”指的是“空”字笔画的前面部分，为“穴”。“空前巧合”指的是“穴”与“巧”合拢，组成字“窍”。穴+巧=窍。,窍
添加显示固(猜一字),提示：“加”指的是加号，符号为“+”。“添加显示固”反过来理解就是“固”字笔画中的“+”减少，去掉，剩下“回”。,回
大江截流展新姿(猜一字),提示：“江截流”说明“江”没有水（氵），剩下“工”。“大江截流展新姿”理解为谜面中的“大”展开拆分之后，再与“工”组成字“全”。大+工=全。,全
减去左边重心稳(猜一字),提示：“减去左边”指的是“减”字笔画去掉左边，剩下“咸”。“重心”指的是“心”字笔画重复，即“心心”，其中一个“心”理解为竖心旁“忄”，另外一个“心”明扣。心+忄+咸=憾。,憾
两个人一见就高兴(猜一字),提示：“两个”理解为两个“个”字，即“个个”，“个”与“个”组成字“竹”，“竹”理解为竹字头“⺮”。“高兴”理解为“兴”字的高处（上面部分）。“⺮”“兴”字的高处（上面部分）与谜面中的“一人”组成字“签”。,签
别后转眼赋首诗(猜一字),提示：“别后”理解为“别”字的后面部分，为“刂”。“目”字义为“眼睛”，与谜面中的“眼”相扣。“转眼”理解为“目”字转动，变成字“罒”。“首诗”理解为“诗”字的首部，为“讠”。讠+刂+罒=罚。,罚
幽林生处桂花香(猜一字),提示：“幽林生处桂花香”反过来理解就是“桂”“香”笔画中的“林”没有生出来，去掉，剩下“圭”“丿日”，“圭”与“丿日”组成字“堵”。,堵
土木结构(猜一字),提示：“土木结构”理解为“土”与“木”结合，组成字“杜”。土+木=杜。,杜
宫中府中俱为一体(猜一字),提示：“宫中”理解为“宫”字的中间部分，为“口”。“府中”理解为“府”字的中间部分，为“亻寸”。“宫中府中俱为一体”理解为“口”与“亻寸”合在一起，组成字“咐”。,咐
两人分工(猜一字),提示：“两人”理解为两个“人”字，即“人人”。“人人”与谜面中的“工”组成字“巫”。人+人+工=巫。,巫
回收一半(猜一字),提示：“回收一半”理解为“回收”二字各取一半，分别取“口丩”，“口”与“丩”组成字“叫”。口+丩=叫。,叫
点滴不沾廉归先(猜一字),提示：“点”理解为“、”，“滴”理解为一滴水，形状为“、”。“点滴不”理解为“、”“、”与“不”组成字“衤”。“沾廉归先”理解为“沾”字的先头部分，后面部分绝了，没有了，剩下“卜”。“卜”与“衤”组成字“补”。衤+卜=补。“廉”字义为“绝，断”。,补
十分用心先入戏(猜一字),提示：“十分”等于长度“一寸”，扣“寸”。“心”明扣。“先入戏”指的是“戏”字笔画的先头部分，为“又”。又+心+寸=怼。,怼
人望月影重(猜一字),提示：“人”理解为单人旁“亻”。“月影”指的是“月”与影子“月”，即“月月”；“月影重”指的是“月”与“月”笔画部分重合，组成字“用”。用+亻=佣。,佣
楼上残灯伴小窗(猜一字),提示：“楼上”理解为“楼”字的开始部分，为“木”。“残灯”理解为“灯”字残缺了部分，剩下“丁”。“小窗”的形状为“口”。口+木+丁=柯。,柯
会走路的兵马俑不是人(猜一字),提示：“走”理解为走之旁“辶”。“人”理解为单人旁“亻”，“俑不是人”理解为“俑”字不要“亻”，剩下“甬”。甬+辶=通。,通
争先入川东(猜一字),提示：“争先”理解为“争”字的先头部分，为“⺈”。“川东”理解为四川东面，古代属于巴蜀，扣“巴”。巴+⺈=色。,色
战略武器(猜一字),提示：“戈”字义为“古代兵器，横刃，用青铜或铁制成，装有长柄”，代指“武器”，与谜面中的“武器”相扣。“战略武器”理解为“战”字省略掉了“戈”，剩下“占”。战-戈=占。,占
两手一抱行大礼(猜一字),提示：“两手”理解为两个“手”字，即“手手”。“手手”与谜面中的“一”组成字“拜”。手+手+一=拜。“行大礼”理解为拜礼，拜年，扣“拜”，第二次紧扣谜底。,拜
前抵闽中又一点(猜一字),提示：“前抵”指的是“抵”字笔画的前面部分，为“扌”。“闽中”指的是“闽”字笔画的中间部分，为“虫”。“点”的形状为“、”；“又一点”指的是“又”与“、”组成字“叉”。叉+虫+扌=搔。,搔
我、妻、朋、饿、望、脚、掌、雾、镰(猜一字),提示：“我”说明是本人，扣“本人”，“人”理解为单人旁“亻”，“亻”与“本”组成字“体”。亻+本=体。 “妻”说明是内人，扣“内人”，“内”与“人”组成字“肉”。内+人=肉。 “朋”理解为朋友，说明是故人，扣“故人”，“人”理解为单人旁“亻”，“亻”与“故”组成字“做”。  “饿”说明欠饮食，扣“欠食”，“食”理解为食字旁“饣”，“饣”与“欠”组成字“饮”。饣+欠=饮。  “望”理解为“望月”，“望月”指的是阴历每月十五日夜晚出现的月亮，即每月的中旬，扣“月中”，“月”与“中”组成字“肿”。月+中=肿。 “脚”是人的足，扣“人足”，“,体、肉、做、饮、肿、促、抱、汽、利
三路会合(猜一字),提示：“三路会合”理解为三岔路口的形状，为“丫”。,丫
不恋权又不贪财(猜一字),提示：“不恋权又”指的是“权”字笔画中的“又”不要，去掉，剩下“木”。“财”即“贝”之意；“不贪财”指的是“贪”字笔画中的“贝”不要，去掉，剩下“今”。今+木=枔。,枔
半夜桥畔心正乱(猜一字),提示：“半夜”即“子时”，扣“子”。“桥”的形状为“冖”。“心”理解为竖心旁“忄”。“正”指的是正号，形状为“+”。“半夜桥畔心正乱”指的是“子”“冖”“忄”与“+”组成字“悖”。,悖
爱的误差(猜一字),提示：“差”指的是差错，符号为“×”。“爱的误差”指的是“爱”字笔画中的“×”少了，去掉，剩下“受”。,受
发生口角，大打出手(猜一字),提示：“口角”二字明扣。“大”明扣。“手”理解为提手旁“扌”；“打出手”指的是“打”字笔画中的“扌”出去，去掉，剩下“丁”。丁+口+大+角=觭。,觭
草桥扩建主动点(猜一字),提示：“草”理解为草字头“艹”。“桥”的形状为“冖”。“主动点”指的是“主”字笔画中的点变动，即“主”变成字“玉”。玉+艹+冖=莹。,莹
杯杯不落空(猜一字),提示：“杯杯不落空”理解为“杯杯”二字的“不”都落空了，没有了，剩下“木木”，“木”与“木”组成字“林”。木+木=林。,林
本来就突然，有火能掀翻，手来约五寸，人到不自然(猜一字),提示：“乍”字义为“忽然；突然”，与谜面中的“本来就突然”相扣。“有火能掀翻”理解为谜底“乍”与“火”组成字“炸”，物体爆炸能够掀翻东西，威力很大。“手”理解为提手旁“扌”。“手来约五寸”理解为“扌”与谜底“乍”组成字“拃”，“拃”字义为“表示张开的大拇指和中指或小指两端间的距离”，长度约为“五寸”。“人”理解为单人旁“亻”。“人到不自然”理解为“亻”与谜底“乍”组成字“作”，“作”字义为“假装”，假装的时候，自然是不自然的。,乍
携手战疫病情消(猜一字),提示：“手”理解为提手旁“扌”。“病”理解为病字头“疒”；“战疫病情消”指的是“疫”字笔画中的“疒”消除，去掉，剩下“殳”。殳+扌=投。,投
广结慧心人(猜一字),提示：“广”明扣。“慧心”指的是“慧”字笔画的中心部分，为“彐”。“人”明扣。人+广+彐=庚。,庚
不直接到达终点(猜一字),提示：“直”指的是竖直，形状为“丨”。“达”明扣。“点”的形状为“、”。,述
确定前面竹竿下(猜一字),提示：“确定前”指的是“确”字笔画的前面部分，为“石”。“竿下”指的是“竿”字笔画的下面部分，为“干”。干+石=矸。,矸
有人不虚心(猜一字),提示：“人”理解为单人旁“亻”。“不虚心”说明骄傲，扣“傲”。“有人不虚心”反过来理解就是“傲”字没有“亻”，剩下“敖”。傲-亻=敖。,敖
直通未来(猜一字),提示：“直”理解为竖直，形状为“丨”。“未”与十二生肖中的“羊”相扣。“直通未来”反过来理解就是“羊”字的“丨”没有了，剩下“兰”。羊-丨=兰。,兰
残红又入秋千里(猜一字),提示：“残红”指的是“红”字笔画残缺，剩下“纟”；“残红又”说明“纟”重复，即“纟纟”，“纟纟”稍微变形，变成“幺幺”。“千里”指的是千里江山，扣“山”。山+幺+幺=幽。,幽
一夜梦游山水中(猜一字),提示：“一”明扣。“夕”字义为“晚上”，与谜面中的“夜”相扣。“山水中”指的是“山”“水”二字笔画的中间部分，分别为“丨”“亅”。丨+亅+一+夕=列。,列
人离休要荐才(猜一字),提示：“人”理解为单人旁“亻”；“人离休”理解为“休”字的“亻”离开了，没有了，剩下“木”。“木”与谜面中的“才”组成字“材”。木+才=材。,材
江边曲径引人至(猜一字),提示：“江边”理解为“江”字的一边，取“氵”。“曲径”理解为弯曲的小路，形状为“及”字没有“人”的部分。“人”明扣。,汲
家要一半(猜一字),提示：“家要一半”理解为“家要”二字各取一半，分别取“宀女”，“宀”与“女”组成字“安”。宀+女=安。,安
羚羊出没悬崖顶(猜一字),提示：“羚羊出”指的是“羚”字笔画的“羊”出去，去掉，剩下“令”。“崖顶”指的是“崖”字笔画的顶部，为“山”。山+令=岭。,岭
"天上云遮月,地下雨打船(猜一字)",提示：“天上云遮月”指的是“云”与“月”笔画有覆盖的地方，组成字“县”。“雨”指的是雨水，形状为“、”，这里用“、、、”代指。“船”的形状为“乚”。,悬
湖心开着一枝莲(猜一字),提示：“湖心开”指的是“湖”字笔画的中心部分开除，去掉，剩下“氵月”。“一枝莲”指的是一枝莲花，形状为“屰”。“湖心开着一枝莲”指的是“湖”字中心的“古”用“屰”替换，得到字“溯”。,溯
来日生子称李旺(猜一字),提示：“来日生子称李旺”反过来理解就是“李旺”的“日”“子”没有来，剩下“木王”，“木”与“王”组成字“枉”。木+王=枉。,枉
湖中舟前耍大刀(猜一字),提示：“湖中”理解为“湖”字的中间部分，为“古”。“舟前”理解为“舟”字的前面部分，开始部分，为“丿”。“刀”理解为利刀旁“刂”。刂+古+丿=刮。,刮
一一入火(猜一字),提示：谜面中的“入”要理解为“人”，“人”理解为单人旁“亻”。“亻”与谜面中的“一一”“火”组成字“侠”。亻+一+一+火=侠。,侠
日长月短左右战，一正一反两边排(猜一字),提示：“门”繁体字为“門”。“門”字左边部分为变长的“日”，右边部分为变短的“月”。,门
此日重逢人垂泪(猜一字),提示：“日”明扣。“重逢人垂泪”反过来理解就是“人垂泪”笔画中的“重”没有相逢，剩下“人艹氵一”,漠
大一点点(猜一字),提示：“点点”理解为“、、”。“、、”与谜面中的“大”组成字“头”。,头
一吟出口泪水洒(猜一字),提示：“吟出口”指的是“吟”字笔画的“口”出去，去掉，剩下“今”。“水”理解为三点水“氵”。氵+今=冷。,冷
非要一聚齐宽心(猜一字),提示：“非”“一”明扣。“宽心”指的是“宽”字笔画的中心部分，为“艹”。艹+一+非=韮。,韮
父归川东(猜一字),提示：“川东”理解为四川的东部地区，古代属于“巴”国。“巴”与谜面中的“父”组成字“爸”。巴+父=爸。,爸
傀儡(猜一字),提示：“傀儡”就是木偶戏里的木头人，扣“木人”，“人”理解为单人旁“亻”，“亻”与“木”组成字“休”。亻+木=休。,休
三十上下模样，却似花儿一般(猜一字),提示：“三十”即三个“十”，即“十十十”；“十”与“十”组成字“艹”；“艹”与剩下的“十”组成字“卉”。,卉
黄梅时节(猜一字),提示：“黄梅时节”说明时令是梅雨季节，扣“令雨”，“令”与“雨”组成字“零”。令+雨=零。,零
我家有只狗，时常跟人走，此字要猜着，等到黄梅后(猜一字),提示：“犬”字义为“狗”，与谜面中的“狗”相扣。“人”理解为单人旁“亻”。亻+犬=伏。“黄梅后”理解为三伏天以后，即夏末秋初，扣“伏”。,伏
暮日降落到村头(猜一字),提示：“暮日降落”理解为“暮”字的“日”降落了，没有了，剩下“莫”。“村头”理解为“村”字的头部，为“木”。木+莫=模。,模
半生半熟(猜一字),提示：“半生”理解为“生”字的一半，取“土”。“半熟”理解为“熟”字的一半，取“孰”。孰+土=塾。,塾
画中悬玉兔，笔底洒流星(猜一字),提示：“画中”理解为“画”字的中间部分，为“田”。“玉兔”是在月亮上面生活的兔子，扣“月”。“笔底”理解为“笔”字的底部，这里取“乚”。“流星”的形状为“、”，这里用“、、、”代指流星。,腮
统一为大(猜一字),提示：“统一为大”反过来理解就是“大”字没有“一”，剩下“人”。,人
九只鸟(猜一字),提示：“九”与“鸟”组成字“鸠”。九+鸟=鸠。,鸠
三山同时倾(猜一字),提示：“三山”理解为三个“山”字，即“山山山”。“三山同时倾”理解为“山山山”同时旋转方向，组成字“帚”。山+山+山=帚.注意：“帚”字没有“彐”的部分为两个“山”字，中间部分“丨”重合了的。,帚
浴后更衣(猜一字),提示：“浴后”理解为“浴”字的后面部分，为“谷”。“衣”理解为衣字旁“衤”。衤+谷=裕。,裕
纵线三个十，大口中间咬(猜一字),提示：“三个十”理解为三个“十”字，即“十十十”。“纵线三个十，大口中间咬”理解为“十十十”众线相连着，“口”字在中间，得到字“車”。,車
前前后后想下(猜一字),提示：“前前”理解为“前”字的前面部分，为“丷”。“后后”理解为“后”字的后面部分，为“口”。“想下”理解为“想”字的下面部分，为“心”。心+口+丷=总。,总
秋末无雨雪(猜一字),提示：“秋末”理解为“秋”字的末尾部分，为“火”。“无雨雪”理解为“雪”字无“雨”，剩下“彐”。彐+火=灵。,灵
追根寻底(猜一字),提示：“追根”理解为“追”字的根部，为“辶”。“寻底”理解为“寻”字的底部，为“寸”。寸+辶=过。,过
少减一笔变(猜一字),提示：“少减一笔变”理解为“少”字减少了一笔，再发生变化，得到字“小”。,小
一出头就长角(猜一字),提示：“午”字中间的“丨”出头了，就变成了字“牛”，牛是有角的动物。,午
听到琴声离人归(猜一字),提示：“听到琴声”指的是谜底的读音与“琴”相同。“离人归”指的是“离”与“人”调整笔画，组成字“禽”。离+人=禽。,禽
有人偷车(猜一字),提示：“人”理解为单人旁“亻”。“有人偷”反过来理解就是“偷”字没有“亻”，剩下“俞”。“俞”与谜面中的“车”组成字“输”。俞+车=输。,输
眉月游弋歌声扬(猜一字),提示：“眉月”指的是月亮的形状像眉毛，形状为“丿”。“弋”明扣。丿+弋=戈。“歌声扬”指的是谜底的读音与“歌”相同。,戈
入伍前曾当和尚(猜一字),提示：“伍前”理解为“伍”字的前面部分，为“亻”。“亻”与谜面中的“曾”组成字“僧”。亻+曾=僧。,僧
比了一半，有心居上(猜一字),提示：“比了一半”指的是“比”字笔画了却了一半，剩下“匕”。“心”理解为竖心旁“忄”。“居上”指的是“居”字笔画的上面部分，为“尸”。尸+匕+忄=怩。,怩
人在马路中(猜一字),提示：“人”明扣。“马路”的形状为“日”。日+人=因。,因
村头一点来聚会(猜一字),提示：“村头”理解为“村”字的头部，为“木”。“点”理解为符号“、”。“村头一点来聚会”理解为“木”与“、”相聚会在一起，组成字“术”。,术
塞上日出云半遮(猜一字),提示：“塞上”理解为“塞”字的上面部分，为“宀”。“云半遮”理解为“云”字遮蔽了一半，剩下“二”。“宀”“二”与谜面中的“日”组成字“宣”。宀+二+日=宣。,宣
京中宽心少林梦(猜一字),提示：“京中”指的是“京”字笔画的中间部分，为“口”。“宽心”指的是“宽”字笔画的中心部分，为“艹”。“少林梦”指的是“梦”字笔画中的“林”少了，去掉，剩下“夕”。夕+艹+口=茗。,茗
一人一杆枪，出征去打战(猜一字),提示：“人”理解为单人旁“亻”。“戈”字义为“古代兵器，横刃，用青铜或铁制成，装有长柄”，与谜面中的“枪”相扣。亻+戈=伐。“出征去打战”说明是在征伐，扣“伐”。第二次紧扣谜底。,伐
又来才对(猜一字),提示：“又来才对”反过来理解就是“对”字的“又”没有来，剩下“寸”。对-又=寸。,寸
横目论刀(猜一字),提示：“横目”理解为“目”字横过来，变成字“罒”。“论”理解为言论，扣“言”，“言”理解为言字旁“讠”。“刀”理解为利刀旁“刂”。刂+讠+罒=罚。,罚
岸上建高楼(猜一字),提示：“岸上”指的是“岸”字笔画的上面部分，为“山”。“高楼”的形状为“且”。山+且=岨。,岨
必须再产(猜一字),提示：谜面中的“须”与“产”组成字“颜”。须+产=颜。,颜
唱了一日人团聚(猜一字),提示：“唱了一日”指的是“唱”字笔画的“一日”了结，去掉，剩下“口口”。“人”理解为单人旁“亻”。亻+口+口=侣。,侣
调整前后(猜一字),提示：“调整前后”理解为“调”字的前面部分“讠”；“整”字的后面部分“正”，“讠”与“正”组成字“证”。讠+正=证。,证
晴空一色光闪闪(猜一字),提示：“色”理解为颜色；“晴空一色”理解为“晴”字的颜色（青色）空了，没有了，剩下“日”。“日”与谜面中的“光”组成字“晃”。日+光=晃。,晃
大同石窟旅游点(猜一字),提示：“石窟”其实就是洞穴，扣“穴”。“点”理解为符号“、”。“、”“穴”与谜面中的“大”组成字“突”。,突
半边有毛半边光，半边味美半边香。半边吃的山上草，半边还在水里藏(猜一字),提示：“鲜”字拆分为“鱼羊”，“鱼”有鳞片，太阳照射下鳞片会发光，鱼吃起来美味，鱼生活在水里；“羊”有羊毛，吃起来十分香，羊喜欢吃草。,鲜
金裤衩(猜一字),提示：“金”指的是金字旁“钅”。“金裤衩”指的是“衩”变成了金子做的了，即“衩”字的“衤”变成了“钅”，变成字“钗”。,钗
一直到老(猜一字),提示：“直”理解为竖直，扣“丨”。“丨”与谜面中的“一”“老”组成字“佬”。,佬
不拘一格放手下去(猜一字),提示：“格”理解为方格，形状为“口”。“手”理解为提手旁“扌”。“下去”指的是“去”字笔画的下面部分，为“厶”。“不拘一格放手下去”指的是“拘”字笔画的“口”不要，“扌”放走，去掉，剩下部分再与“厶”组成字“勾”。,勾
过去三日就是春(猜一字),提示：“过去三日就是春”理解为“春”字的“三日”过去了，没有了，剩下“人”。春-三-日=人。,人
四个大山山对山，四个大川川对川，四个口字连环套，四个嘴巴紧相连(猜一字),提示：“四个大山山对山”理解为四个“山”字从四个方向对着，组成字“田”。“四个大川川对川”理解为四个“川”字从四个方向对着，组成字“田”。“四个口”理解为“口口口口”。“四个口字连环套”理解为四个“口”字相连着，组成字“田”。口+口+口+口=田。“口”字义为“嘴”，与谜面中的“嘴”相扣。“四个嘴巴紧相连”理解为四个“口”字相连着，组成字“田”。,田
舌尖上的美玉(猜一字),提示：“舌尖”理解为舌头，舌头是在口里（嘴里），扣“口”。“口”与谜面中的“玉”组成字“国”。口+玉=国。,国
播出之前擦干汗(猜一字),提示：“播出之前”指的是“播”字笔画的前面部分出去，去掉，剩下“番”。“擦干汗”指的是“汗”字笔画中的“干”擦掉，去掉，剩下“氵”。氵+番=潘。,潘
人生一口气(猜一字),提示：“口”为方格的形状，扣“方”。“人生一口气”指的是“人”字笔画变形，再与“生”“方”组成字“旌”。,旌
一生无邪(猜一字),提示：“无邪”说明为人正直，扣“正”。“一生无邪”反过来理解就是“正”字的“一”没有生出来，没有了，剩下“止”。,止
初到东京(猜一字),提示：“乍”字义为“刚刚；起初”，与谜面中的“初到”相扣。“东京”为日本的首都，扣“日”。日+乍=昨。,昨
八口人相聚(猜一字),提示：谜面中的“八口人”三字聚集在一起，组成字“谷”。八+口+人=谷。,谷
吕布作古画戟犹存(猜一字),提示：“画戟”古兵器名，“画戟犹存”说明“画戟”的形状存在一半，形状为“阝”。“阝”与谜面中的“吕”“古”组成字“鄙”。阝+吕+古=鄙。,鄙
有虫就有蚁(猜一字),提示：“有虫就有蚁”反过来理解就是“蚁”字笔画中的“虫”没有了，剩下“义”。蚁-虫=义。,义
晚上相约芳心乱(猜一字),提示：“夕”字义为“晚上”，与谜面中的“晚上”相扣。“芳心”理解为“芳”字笔画的中心部分，为“亠”；“芳心乱”理解为“亠”字笔画打乱，变成字“卜”。卜+夕=外。,外
飓风过后心更怕(猜一字),提示：“飓风过”指的是“飓”字笔画中的“风”过去，去掉，剩下“具”。“心”理解为竖心旁“忄”。忄+具=惧。“怕”指的是“惧”的字义。,惧
树后(猜一字),提示：“树后”指的是“树”笔画的后面部分，为“寸”。,寸
步调一致(猜一字),提示：“步调一致”说明足（脚）走得整齐，扣“足齐”，“足”与“齐”组成字“跻”。足+齐=跻。,跻
重阳月下诵首诗(猜一字),提示：“日”字义为“太阳”，与谜面中的“太阳”相扣。“重阳”指的是“日”重复，即“日日”，“日”与“日”组成字“田”。“月”明扣。“诵首”指的是“诵”字笔画的首部，为“讠”。讠+田+月=谓。,谓
大口加小口，坚硬如石头(猜一字),提示：“加”理解为加号，“加号”的形状为“十”。“十”与谜面中的大“口”，小“口”组成字“固”。口+口+十=固。“坚硬如石头”说明十分的坚固，扣“固”。,固
公开隐私(猜一字),提示：“厶”古同“私”，与谜面中的“私”相扣。“公隐私”理解为“公”隐去了“厶”，剩下“、、”。“、、”与谜面中的“开”组成字“并”。,并
共守球门(猜一字),提示：“球门”的形状为“冂”。“冂”与谜面中的“共”组成字“典”。冂+共=典。,典
有雨放假无人来(猜一字),提示：“人”理解为单人旁“亻”。“有雨放假无人来”理解为“假”字无“亻”，再与“雨”组成字“霞”。,霞
人有它变大(猜一字),提示：“人有它变大”反过来理解就是“大”字没有“人”，剩下“一”。,一
勤奋劳动都有他份儿(猜一字),,力释提示：谜面中的“勤劳动”三字都含有的笔画部分，为“力”。
