input,explanation,answer
"Photograph barrister's material (4,4)",' material ' is the definition. ' photograph barrister's ' is the wordplay. ' photograph ' becomes ' shot ' (shot is a kind of photograph) . ' barrister ' becomes ' silk '  . ' shot '+' silk '=' SHOT SILK ',shot silk
Briefly want right-wingers ruling state (9),' state ' is the definition. (Wisconsin is an example) ' briefly want right-wingers ruling ' is the wordplay. ' briefly ' means to remove the last letter. ' want ' becomes ' wish ' (wishing is a kind of wanting) . ' right-wingers ' becomes ' cons ' (abbreviation for conservatives) . ' ruling ' becomes ' in ' (the ruling party is voted 'in') . ' wis h ' with its last letter taken off is ' wis '. ' wis '+' cons '+' in '=' WISCONSIN ',wisconsin
Liberal wearing tousled hair promises to be funny (9),"' be funny ' is the definition. (thesaurus) ' liberal wearing tousled hair promises ' is the wordplay. ' liberal ' becomes ' l ' (abbreviation) . ' wearing ' means one lot of letters goes inside another. ' tousled ' indicates anagramming the letters. ' promises ' becomes ' ious ' (IOU's, promises to pay a debt) . ' hair ' anagrammed gives ' hiar '. ' l ' going within ' hiar ' is ' hilar '. ' hilar '+' ious '=' HILARIOUS ' ' to ' acts as a link.",hilarious
"Stuck aluminium in a cast (2,1,4)",' stuck ' is the definition. (thesaurus) ' aluminium in a cast ' is the wordplay. ' aluminium ' becomes ' al ' ('Al' can be a synonym of 'aluminium') . ' in ' is an insertion indicator. ' cast ' becomes ' toss '  . ' a '+' toss '=' atoss ' ' al ' placed within ' atoss ' is ' AT A LOSS '.,at a loss
Awkward bachelor said to drink some liquor (14),' awkward ' is the definition. ('butterfingered' can be similar in meaning to 'awkward') ' bachelor said to drink some liquor ' is the wordplay. ' bachelor ' becomes ' b ' (abbreviation e.g. BA=Bachelor of Arts) . ' said ' becomes ' uttered '  . ' to drink ' means one lot of letters goes inside another. ' some liquor ' becomes ' finger ' (measurement of alcohol) . ' uttered ' placed around ' finger ' is ' utterfingered '. ' b '+' utterfingered '=' BUTTERFINGERED ',butterfingered
Distant motorway building (4),' building ' is the definition. (farm building is a kind of building) ' distant motorway ' is the wordplay. ' distant ' becomes ' far ' ('far' can be similar in meaning to 'distant') . ' motorway ' becomes ' m '. ' far '+' m '=' FARM ',farm
Canvas blouses say feel bad (7),' canvas ' is the definition. (topsail is a kind of canvas) ' blouses say feel bad ' is the wordplay. ' blouses say ' becomes ' tops ' (blouse is a kind of top) . ' feel bad ' becomes ' ail '. ' tops '+' ail '=' TOPSAIL ',topsail
Gateau served with red meat in hunks (8),' hunks ' is the definition. (beefcake can mean attractive men) ' gateau served with red meat ' is the wordplay. ' gateau ' becomes ' cake '  . ' served with ' is a charade indicator (letters next to each other). ' red meat ' becomes ' beef '. ' cake ' after ' beef ' is ' BEEFCAKE '. ' in ' is the link.,beefcake
Charlie soon with new side: made one of the Saints (9),"' made one of the saints ' is the definition. ' charlie soon with new side ' is the wordplay. ' charlie ' becomes ' c ' (phonetic alphabet: alpha,  bravo, charlie etc.) . ' soon ' becomes ' anon '  . ' with ' means one lot of letters go next to another. ' new ' indicates an anagram. ' side ' with letters rearranged gives ' ised '. ' c '+' anon '+' ised '=' CANONISED '",canonised
"Undaunted, I say 'Fancy Cher coming round!' (6)",' undaunted ' is the definition.  ' i say fancy cher coming round ' is the wordplay. ' i say ' becomes ' oi ' (both are expressions of shock or outrage) . ' fancy ' is an anagram indicator. ' coming round ' indicates putting letters inside. ' cher ' with letters rearranged gives ' herc '. ' oi ' placed inside ' herc ' is ' HEROIC '.,heroic
Players ultimately plump for Australian beer (6),' australian beer ' is the definition. (Australian beer bottle size) ' players ultimately plump ' is the wordplay. ' ultimately ' suggests the final letters. ' plump ' becomes ' tubby '  . The last letter of ' player s ' is ' s '. ' s '+' tubby '=' STUBBY ' ' for ' acts as a link.,stubby
Catch some climbing (4),"' catch ' is the definition. (trapping is a kind of catching) ' some climbing ' is the wordplay. ' some ' becomes ' part '. ' climbing ' is a reversal indicator (in a down clue, letters climb up) . ' part ' written backwards gives ' TRAP '.",trap
Putting into the ground the grain to sprout (8),' putting into the ground ' is the definition. ' the grain to sprout ' is the wordplay. ' to sprout ' indicates an anagram (to sprout can mean to develop and change) . ' the '+' grain '=' thegrain ' ' thegrain ' anagrammed gives ' EARTHING '.,earthing
"Cherish and adore D. H. Lawrence, initially slammed (4,4)",' cherish ' is the definition. ('hold dear' can be a synonym of 'cherish') ' adore d h lawrence initially slammed ' is the wordplay. ' initially ' says to take the initial letters. ' slammed ' indicates anagramming the letters. The first letter of ' l awrence ' is ' l '. ' adore '+' d '+' h '+' l '=' adoredhl ' ' adoredhl ' anagrammed gives ' HOLD DEAR '. ' and ' is the link.,hold dear
"Tom cries uncontrollably — it's cold and windy (3,5)",' it's cold and windy ' is the definition. ' tom cries uncontrollably ' is the wordplay. ' uncontrollably ' indicates an anagram  . ' tom '+' cries '=' tomcries ' ' tomcries ' with letters rearranged gives ' ICE STORM '.,ice storm
"Lowest point in Eridanus, to the west (5)",' lowest point ' is the definition. ' in eridanus to the west ' is the wordplay. ' in ' indicates the answer is hidden within the clue. ' to the west ' shows that the letters should be reversed in order. ' ridan ' can be found hidden inside ' e ridan us '. ' ridan ' in reverse letter order is ' NADIR '.,nadir
"Revolutionary went off round city, one finds (8)",' one finds ' is the definition. ' revolutionary went off round city ' is the wordplay. ' revolutionary ' says the letters should be written backwards. ' went off ' becomes ' rotted '. ' round ' means one lot of letters goes inside another. ' city ' becomes ' ec ' (the City of London postcode) . ' rotted ' backwards is ' dettor '. ' dettor ' going around ' ec ' is ' DETECTOR '.,detector
Some characters moving a table outside pub (8),' some characters ' is the definition.  ' moving a table outside pub ' is the wordplay. ' moving ' indicates anagramming the letters. ' outside ' indicates putting letters inside. ' pub ' becomes ' ph ' (public house) . ' a '+' table '=' atable ' ' atable ' anagrammed gives ' alabet '. ' alabet ' placed around ' ph ' is ' ALPHABET '.,alphabet
Geese flying for cover around mid-September (5),' geese flying ' is the definition. ' cover around mid-september ' is the wordplay. ' cover ' becomes ' skin ' (skin is a kind of cover**) . ' around ' is an insertion indicator. ' mid ' indicates the central letters. ' september ' becomes ' sep ' ('Sep' can be a synonym of 'september') . The central letter of ' s e p ' is ' e '. ' skin ' enclosing ' e ' is ' SKEIN '. ' for ' acts as a link.,skein
"Poet joins economist somewhere in Buckinghamshire (6,6)",' somewhere in buckinghamshire ' is the definition. ' poet joins economist ' is the wordplay. ' poet ' becomes ' milton ' (John Milton) . ' joins ' is a charade indicator (letters next to each other). ' economist ' becomes ' keynes ' (Keynes is an example) . ' milton '+' keynes '=' MILTON KEYNES ',milton keynes
"Gazes fixedly, flight being heard (6)",' gazes fixedly ' is the definition. ' flight being heard ' is the wordplay. ' flight ' becomes ' stairs '  . ' being heard ' indicates a 'sounds like' (homophone) clue. ' stairs ' is a homophone of ' STARES '.,stares
Mathematical symbol: short symbol written by scholar (5),' mathematical symbol ' is the definition. (symbol for summation in mathematics) ' short symbol written by scholar ' is the wordplay. ' short ' means to remove the last letter. ' symbol ' becomes ' sign '  . ' written by ' is a charade indicator (letters next to each other). ' scholar ' becomes ' ma '. ' sig n ' with its last letter taken off is ' sig '. ' sig '+' ma '=' SIGMA ',sigma
"Fighters for a cause, chums suppressing a noise (8)",' fighters for a cause ' is the definition. (the knights of Charlemagne were paladins) ' chums suppressing a noise ' is the wordplay. ' chums ' becomes ' pals ' ('pal' can be a synonym of 'chum') . ' suppressing ' means one lot of letters goes inside another. ' noise ' becomes ' din ' (din is a kind of noise) . ' a '+' din '=' adin ' ' pals ' going around ' adin ' is ' PALADINS '.,paladins
Greatest of all time secures large triumph (5),' triumph ' is the definition. ('gloat' can be a synonym of 'triumph') ' greatest of all time secures large ' is the wordplay. ' greatest of all time ' becomes ' goat ' (abbreviation often used in sport) . ' secures ' means one lot of letters goes inside another. ' large ' becomes ' l '. ' goat ' placed around ' l ' is ' GLOAT '.,gloat
"Performing 'Carmen', tenor's showing grievance (12)",' grievance ' is the definition. (thesaurus) ' performing carmen tenor's ' is the wordplay. ' performing ' is an anagram indicator. ' carmen '+' tenors '=' carmentenors ' ' carmentenors ' is an anagram of ' REMONSTRANCE '. ' showing ' is the link.,remonstrance
Trip over Grampian's premier hill-range (5),' hill-range ' is the definition.  ' trip over grampian's premier ' is the wordplay. ' trip ' becomes ' ride '  . ' over ' means one lot of letters goes inside another. ' premier ' indicates taking the first letters. The initial letter of ' g rampian ' is ' g '. ' ride ' going around ' g ' is ' RIDGE '.,ridge
Crash of pain felt crossing river (5),' crash ' is the definition.  ' pain felt crossing river ' is the wordplay. ' pain felt ' becomes ' pang '. ' crossing ' means one lot of letters goes inside another. ' river ' becomes ' r '. ' pang ' going around ' r ' is ' PRANG '. ' of ' acts as a link.,prang
Hot dog makes you suffer (5),' suffer ' is the definition. (to incur is to suffer or experience) ' hot dog ' is the wordplay. ' hot ' becomes ' in ' (both can mean fashionable) . ' dog ' becomes ' cur ' (both can mean a despicable person) . ' in '+' cur '=' INCUR ' ' makes you ' is the link.,incur
Is charge to follow concerning second publication? (7),' second publication? ' is the definition. ' is charge to follow concerning ' is the wordplay. ' charge ' becomes ' sue '  . ' to follow ' means one lot of letters go next to another. ' concerning ' becomes ' re '. ' is '+' sue '=' issue ' ' issue ' after ' re ' is ' REISSUE '.,reissue
Voting system is possible as form of punishment! (6),' form of punishment ' is the definition. ' voting system is possible ' is the wordplay. ' voting system ' becomes ' pr '  . ' possible ' becomes ' on ' ('not on' can mean unacceptable or not possible) . ' pr '+' is '+' on '=' PRISON ' ' as ' is the link.,prison
Clothing worn by husband causes outrage (6),' causes outrage ' is the definition. ' clothing worn by husband ' is the wordplay. ' clothing ' becomes ' socks ' (socks is a kind of clothing**) . ' worn by ' is an insertion indicator  . ' husband ' becomes ' h '. ' socks ' enclosing ' h ' is ' SHOCKS '.,shocks
Guessing to unravel what could be a hint (10),' a hint ' is the definition. ('suggestion' can be a synonym of 'hint') ' guessing to unravel ' is the wordplay. ' unravel ' indicates anagramming the letters  . ' guessing '+' to '=' guessingto ' ' guessingto ' anagrammed gives ' SUGGESTION '. ' what could be ' acts as a link.,suggestion
Cure? Doctor runs to source of medicine (7),' cure? ' is the definition. (nostrum is a kind of cure) ' doctor runs to source of medicine ' is the wordplay. ' doctor ' indicates anagramming the letters. ' source of ' indicates taking the first letters. The initial letter of ' m edicine ' is ' m '. ' runs '+' to '=' runsto ' ' runsto ' is an anagram of ' nostru '. ' nostru '+' m '=' NOSTRUM ',nostrum
Killers opening drink a little backward (7),' killers ' is the definition. ' opening drink a little backward ' is the wordplay. ' opening ' becomes ' slot ' (slot is a kind of opening**) . ' drink a little ' becomes ' sip '. ' backward ' is a reversal indicator. ' slot '+' sip '=' slotsip ' ' slotsip ' written backwards gives ' PISTOLS '.,pistols
"Indecent old boy sighted, we hear (7)",' indecent ' is the definition. ('obscene' can be similar in meaning to 'indecent') ' old boy sighted we hear ' is the wordplay. ' old boy ' becomes ' ob '. ' sighted ' becomes ' seen '  . ' we hear ' shows a homophone (sound like). ' seen ' is a homophone of ' scene '. ' ob '+' scene '=' OBSCENE ',obscene
African shelter on base of plateau (4),' african ' is the definition.  ' shelter on base of plateau ' is the wordplay. ' shelter ' becomes ' hut ' (hut is a kind of shelter**) . ' on ' means one lot of letters go next to another. ' base of ' indicates one should take the final letters. The last letter of ' platea u ' is ' u '. ' hut '+' u '=' HUTU ',hutu
Pull out of plant storing some DNA from the south (7),"' pull out of ' is the definition. ' plant storing some dna from the south ' is the wordplay. ' plant ' becomes ' rue ' (type of shrub) . ' storing ' indicates putting letters inside. ' some dna ' becomes ' gene '. ' from the south ' is a reversal indicator (in a down clue, letters go up) . ' gene ' back-to-front is ' eneg '. ' rue ' going around ' eneg ' is ' RENEGUE '.",renegue
Wary when left with spooky sound (5),' wary ' is the definition. (thesaurus) ' left with spooky sound ' is the wordplay. ' left ' becomes ' l ' (common abbreviation) . ' with ' is a charade indicator (letters next to each other). ' spooky ' becomes ' eerie ' ('eerie' can be a synonym of 'spooky') . ' sound ' indicates a 'sounds like' (homophone) clue. ' eerie ' is a homophone of ' eery '. ' l '+' eery '=' LEERY ' ' when ' is the link.,leery
"Friendly, am I? — Vince (8)",' friendly ' is the definition. ('amicable' is associated in meaning with 'friendly') ' am i? vince ' is the wordplay. ' vince ' becomes ' cable ' (Sir Vince Cable) . ' am '+' i '+' cable '=' AMICABLE ',amicable
Sleazy date with daddy after vacation (5),' sleazy ' is the definition. ('seedy' can be a synonym of 'sleazy') ' date with daddy after vacation ' is the wordplay. ' date ' becomes ' see ' ('see' can be a synonym of 'date'**) . ' with ' says to put letters next to each other. ' after vacation ' means to remove the middle letters (the inside letters must vacate) . ' d add y ' with its centre taken out is ' dy '. ' see '+' dy '=' SEEDY ',seedy
Enclosure outside old abstainer’s rural dwelling (7),' rural dwelling ' is the definition.  ' enclosure outside old abstainer's ' is the wordplay. ' enclosure ' becomes ' cage ' (cage is a kind of enclosure**) . ' outside ' is an insertion indicator. ' old ' becomes ' o ' (common abbreviation eg in OE for Old English) . ' abstainer ' becomes ' tt '  . ' o '+' tt '=' ott ' ' cage ' placed around ' ott ' is ' COTTAGE '.,cottage
About to sum up the brother of Romulus (5),' brother of romulus ' is the definition.  ' about to sum up ' is the wordplay. ' about ' becomes ' re ' ('re' means regarding or about) . ' up ' shows that the letters should be reversed in order (in down clue: letters go upwards) . ' sum ' backwards is ' mus '. ' re '+' mus '=' REMUS ' ' the ' acts as a link.,remus
Grooms animal within bounds of stables (8),' grooms ' is the definition. ' animal within bounds of stables ' is the wordplay. ' animal ' becomes ' marten '  . ' within ' means one lot of letters goes inside another. ' bounds of ' means to remove the middle letters (the letters which form the boundaries of the word) . ' s table s ' with its centre removed is ' ss '. ' marten ' inserted into ' ss ' is ' SMARTENS '.,smartens
Manage fine conclusion (4),' manage ' is the definition.  ' fine conclusion ' is the wordplay. ' fine ' becomes ' f ' (abbreviation) . ' conclusion ' becomes ' end ' (end is a kind of conclusion) . ' f '+' end '=' FEND ',fend
"Much-loved dad, initially up late and reading (7)",' much-loved ' is the definition. ' dad initially up late and reading ' is the wordplay. ' dad ' becomes ' pop ' ('pop' can be a synonym of 'dad'**) . ' initially ' says to take the initial letters. The initial letters of ' u p l ate a nd r eading ' is ' ular '. ' pop '+' ular '=' POPULAR ',popular
Dejected having to put up with setter? (7),' dejected ' is the definition.  ' to put up with setter? ' is the wordplay. ' to put up ' becomes ' hang '  . ' with ' says to put letters next to each other. ' setter? ' becomes ' dog ' (a setter is a type of dog) . ' hang '+' dog '=' HANGDOG ' ' having ' is the link.,hangdog
A ceremony rendered by speaker correctly (6),' correctly ' is the definition. ('aright' can be a synonym of 'correctly') ' a ceremony rendered by speaker ' is the wordplay. ' ceremony ' becomes ' rite ' (rite is a kind of ceremony) . ' rendered by speaker ' shows a homophone (sound like). ' rite ' sounds like ' right '. ' a '+' right '=' ARIGHT ',aright
"Rascal's discourteous then nice, not one to show lack of caution (10)",' lack of caution ' is the definition.  ' rascal's discourteous then nice not one ' is the wordplay. ' rascal ' becomes ' imp ' ('imp' can be a synonym of 'rascal'**) . ' discourteous ' becomes ' rude '  . ' then ' is a charade indicator (letters next to each other). ' not ' suggests deleting specific letters. ' one ' becomes ' i ' (Roman numeral) . ' nice ' with ' i ' removed is ' nce '. ' imp '+' rude '+' nce '=' IMPRUDENCE ' ' to show ' is the link.,imprudence
Method is reported to produce delicious food (5),' delicious food ' is the definition.  ' method is reported ' is the wordplay. ' method ' becomes ' manner '  . ' is reported ' shows a homophone (sound like). ' manner ' sounds like ' MANNA '. ' to produce ' acts as a link.,manna
Promotion of article supporting ancient city in EU country (11),"' promotion ' is the definition. ('furtherance' can be a synonym of 'promotion') ' article supporting ancient city in eu country ' is the wordplay. ' article ' becomes ' the ' (the 'definite article' part of speech**) . ' supporting ' is a charade indicator (letters next to each other) (in a down clue, some letters go below others) . ' ancient city ' becomes ' ur '. ' in ' means one lot of letters goes inside another. ' eu country ' becomes ' france '. ' the ' put after ' ur ' is ' urthe '. ' urthe ' put into ' france ' is ' FURTHERANCE '. ' of ' is the link.",furtherance
Drink available after first of Cheltenham handicaps? (8),' drink ' is the definition. (informal term for champagne) ' first of cheltenham handicaps? ' is the wordplay. ' first of ' suggests taking the first letters. ' handicaps? ' becomes ' hampers ' ('hamper' can be a synonym of 'handicap') . The initial letter of ' c heltenham ' is ' c '. ' c '+' hampers '=' CHAMPERS ' ' available after ' is the link.,champers
Half-cut priest dined in grounds (6),' grounds ' is the definition.  ' half-cut priest dined ' is the wordplay. ' half cut ' suggests halving the letters. ' dined ' becomes ' ate '. ' pri est ' halved is ' est '. ' est '+' ate '=' ESTATE ' ' in ' is the link.,estate
Maintain insurance is essentially pointless (6),' maintain ' is the definition. (thesaurus) ' insurance is essentially pointless ' is the wordplay. ' insurance ' becomes ' ins ' (business abbreviation) . ' essentially ' indicates the central letters. The middle of ' poin t less ' is ' t '. ' ins '+' is '+' t '=' INSIST ',insist
Fissure allows the French inside underground chamber (6),' fissure ' is the definition.  ' the french inside underground chamber ' is the wordplay. ' the french ' becomes ' le '. ' inside ' is an insertion indicator. ' underground chamber ' becomes ' cave '  . ' le ' placed inside ' cave ' is ' CLEAVE '. ' allows ' is the link.,cleave
Disturbing to see vice-president losing head during call (6),' disturbing ' is the definition.  ' vice-president losing head during call ' is the wordplay. ' vice-president ' becomes ' veep '  . ' losing head ' means to remove the first letter. ' during ' means one lot of letters goes inside another. ' call ' becomes ' cry ' ('cry' can be a synonym of 'call') . ' v eep ' with its first letter removed is ' eep '. ' eep ' inserted into ' cry ' is ' CREEPY '. ' to see ' is the link.,creepy
Becomes strained when speaking a few words (6),' a few words ' is the definition. ' becomes strained when speaking ' is the wordplay. ' becomes strained ' becomes ' frays '. ' when speaking ' shows a homophone (sound like). ' frays ' sounds like ' PHRASE '.,phrase
Tasteless items of jewellery? A couple mentioned in rap (6),' rap ' is the definition. (thesaurus) ' tasteless items of jewellery? a couple mentioned ' is the wordplay. ' tasteless items of jewellery? ' becomes ' tat '. ' a couple ' becomes ' two '  . ' mentioned ' shows a homophone (sound like). ' two ' is a homophone of ' too '. ' tat '+' too '=' TATTOO ' ' in ' acts as a link.,tattoo
I'm leaving limo during getaway for some meat (8),' some meat ' is the definition. (escalope is a kind of meat) ' i'm leaving limo during getaway ' is the wordplay. ' leaving ' is a deletion indicator. ' during ' indicates putting letters inside. ' getaway ' becomes ' escape '  . ' limo ' with ' im ' taken out is ' lo '. ' lo ' put into ' escape ' is ' ESCALOPE '. ' for ' acts as a link.,escalope
Colour match in enclosure,' colour ' is the definition.  ' match in enclosure ' is the wordplay. ' match ' becomes ' agree ' ('agree' can be a synonym of 'match'**) . ' in ' indicates putting letters inside. ' enclosure ' becomes ' pen ' (pen is a kind of enclosure) . ' agree ' inserted inside ' pen ' is ' PEA-GREEN '.,pea green
Help Max Ernst to hold up illustration (7),' illustration ' is the definition. ('example' can be a synonym of 'illustration') ' help max ernst to hold up ' is the wordplay. ' to hold ' indicates the answer is hidden within the clue  . ' up ' says the letters should be written in reverse (in down clue: letters go upwards) . ' elpmaxe ' can be found hidden inside ' h elp max e rnst '. ' elpmaxe ' reversed gives ' EXAMPLE '.,example
One minute -- case of doctor being in a hurry (9),' in a hurry ' is the definition. ' one minute case of doctor ' is the wordplay. ' one ' becomes ' i ' (Roman numeral) . ' minute ' becomes ' m ' (abbreviation) . ' case of doctor ' becomes ' patient ' (a medical case) . ' i '+' m '+' patient '=' IMPATIENT ' ' being ' is the link.,impatient
Conceive of silver being found in excavation on island (7),' conceive of ' is the definition. ('imagine' can be a synonym of 'conceive of') ' silver being found in excavation on island ' is the wordplay. ' silver ' becomes ' ag ' (Ag is the chemical symbol for silver) . ' being found in ' is an insertion indicator. ' excavation ' becomes ' mine ' (mine is a kind of excavation**) . ' on ' says to put letters next to each other. ' island ' becomes ' i '. ' ag ' put inside ' mine ' is ' magine '. ' magine ' after ' i ' is ' IMAGINE '.,imagine
Small stone lodged in baby tooth (8),' tooth ' is the definition. (I know that sprocket is a type of tooth) ' small stone lodged in baby ' is the wordplay. ' small ' becomes ' s ' (abbreviation - e.g. clothes size) . ' stone ' becomes ' rock ' (synonyms) . ' lodged in ' is an insertion indicator. ' baby ' becomes ' pet '. ' rock ' placed within ' pet ' is ' procket '. ' s '+' procket '=' SPROCKET ',sprocket
"Lacking definition, not very fit (4)",' fit ' is the definition.  ' lacking definition not very ' is the wordplay. ' lacking definition ' becomes ' vague '. ' not ' indicates named letters should be taken away. ' very ' becomes ' v ' (abbreviation) . ' vague ' with ' v ' taken out is ' AGUE '.,ague
"Tiny cat, one trapped by current (6)",' tiny ' is the definition. ' cat one trapped by current ' is the wordplay. ' cat ' becomes ' tom ' (tom is a kind of cat) . ' one ' becomes ' i ' (Roman numeral) . ' trapped by ' means one lot of letters goes inside another. ' current ' becomes ' ac ' (alternating current) . ' tom '+' i '=' tomi ' ' tomi ' inserted into ' ac ' is ' ATOMIC '.,atomic
"Crown, one stolen by a knave, turned over (5)",' crown ' is the definition. (thesaurus) ' one stolen by a knave turned over ' is the wordplay. ' one ' becomes ' i ' (Roman numeral) . ' stolen by ' means one lot of letters goes inside another. ' knave ' becomes ' rat '. ' turned over ' says the letters should be written backwards. ' a '+' rat '=' arat ' ' i ' inserted inside ' arat ' is ' arait '. ' arait ' backwards is ' TIARA '.,tiara
Heavenly body shown by the first person getting into bed (5),' heavenly body ' is the definition. (comet is a kind of heavenly body) ' the first person getting into bed ' is the wordplay. ' the first person ' becomes ' me ' (first-person pronoun) . ' getting into ' is an insertion indicator. ' bed ' becomes ' cot ' (cot is a kind of bed) . ' me ' put inside ' cot ' is ' COMET '. ' shown by ' is the link.,comet
Improves objectives to support half of them (6),' improves ' is the definition. (emending is a kind of improving) ' objectives to support half of them ' is the wordplay. ' objectives ' becomes ' ends '  . ' to support ' means one lot of letters go next to another. ' half of ' means to take half the letters. ' th em ' cut in half is ' em '. ' ends ' after ' em ' is ' EMENDS '.,emends
Soft refusal by a girl (5),' soft ' is the definition. ('piano' can be similar in meaning to 'soft') ' refusal by a girl ' is the wordplay. ' refusal ' becomes ' no '. ' by ' says to put letters next to each other. ' a girl ' becomes ' pia ' (**) . ' no ' after ' pia ' is ' PIANO '.,piano
"Ridiculous trousers start to expand, and pop undone (12)",' ridiculous ' is the definition. ('preposterous' can be a synonym of 'ridiculous') ' trousers start to expand and pop undone ' is the wordplay. ' start to ' suggests taking the first letters. ' and ' means one lot of letters go next to another  . ' undone ' indicates an anagram. The initial letter of ' e xpand ' is ' e '. ' trousers '+' e '=' trouserse ' ' trouserse ' after ' pop ' is ' poptrouserse '. ' poptrouserse ' anagrammed gives ' PREPOSTEROUS '.,preposterous
Turner song about exploitation (8),' turner ' is the definition. (something which turns) ' song about exploitation ' is the wordplay. ' song ' becomes ' carol ' (carol is a kind of song**) . ' about ' is an insertion indicator. ' exploitation ' becomes ' use '. ' carol ' placed around ' use ' is ' CAROUSEL '.,carousel
Carpets are best beaten (7),' carpets ' is the definition. (carpet can informally mean to criticise) ' are best beaten ' is the wordplay. ' beaten ' indicates an anagram. ' are '+' best '=' arebest ' ' arebest ' is an anagram of ' BERATES '.,berates
Complicated matters should include a good plan (9),' plan ' is the definition. (stratagem is a kind of plan) ' complicated matters should include a good ' is the wordplay. ' complicated ' indicates an anagram. ' should include ' is an insertion indicator. ' a good ' becomes ' ag '  . ' matters ' with letters rearranged gives ' stratem '. ' stratem ' going around ' ag ' is ' STRATAGEM '.,stratagem
Small empty township surrounded by marine plant,' plant ' is the definition. (sweet pea is a kind of plant) ' small empty township surrounded by marine ' is the wordplay. ' small ' becomes ' wee ' ('wee' can be similar in meaning to 'small'**) . ' empty ' says to hollow out the word (remove centre letters). ' surrounded by ' indicates putting letters inside. ' marine ' becomes ' sea '  . ' t ownshi p ' with its centre taken out is ' tp '. ' wee '+' tp '=' weetp ' ' weetp ' put within ' sea ' is ' SWEET PEA '.,sweet pea
A top-class part pouches European gold disk (7),' gold disk ' is the definition. ' a top-class part pouches european ' is the wordplay. ' top-class ' becomes ' u ' (as in U and non-U speech) . ' part ' becomes ' role ' ('role' can be a synonym of 'part'**) . ' pouches ' is an insertion indicator (pouch can mean to contain) . ' european ' becomes ' e ' (abbreviation e.g. EU) . ' role ' going around ' e ' is ' reole '. ' a '+' u '+' reole '=' AUREOLE ',aureole
Rocked for the audience in leather (5),' leather ' is the definition. (suede is a kind of leather) ' rocked for the audience ' is the wordplay. ' rocked ' becomes ' swayed ' ('sway' can be a synonym of 'rock') . ' for the audience ' shows a homophone (sound like). ' swayed ' sounds like ' SUEDE '. ' in ' is the link.,suede
Current queen is not commonly brief (8),' commonly brief ' is the definition. ' acquaint ' can be an answer for ' brief ' (thesaurus) . I am unsure of the ' commonly ' bit. ' current queen is not ' is the wordplay. ' current ' becomes ' ac ' (alternating current) . ' queen ' becomes ' qu '. ' is not ' becomes ' aint '  . ' ac '+' qu '+' aint '=' ACQUAINT ',acquaint
Allegiance from 50 kings and queens? Not at first (7),' allegiance ' is the definition. (thesaurus) ' 50 kings and queens? not at first ' is the wordplay. ' 50 ' becomes ' l ' ('L' can be a synonym of '50') . ' kings and queens? ' becomes ' royalty '. ' not at first ' means to remove the first letter. ' r oyalty ' with its initial letter taken away is ' oyalty '. ' l '+' oyalty '=' LOYALTY ' ' from ' is the link.,loyalty
An insect's awfully persistent (9),' persistent ' is the definition.  ' an insect's awfully ' is the wordplay. ' awfully ' indicates anagramming the letters. ' an '+' insects '=' aninsects ' ' aninsects ' is an anagram of ' INCESSANT '.,incessant
Head of chapter restricts company for church officer (6),' church officer ' is the definition. (deacon is a kind of church officer) ' head of chapter restricts company ' is the wordplay. ' head of chapter ' becomes ' dean '. ' restricts ' is an insertion indicator. ' company ' becomes ' co ' (abbreviation) . ' dean ' placed around ' co ' is ' DEACON '. ' for ' is the link.,deacon
Flowers: one comes up (6),' flowers ' is the definition.  ' one comes up ' is the wordplay. ' one ' becomes ' i ' (Roman numeral**) . ' comes up ' becomes ' rises ' (rising is a kind of coming up) . ' i '+' rises '=' IRISES ',irises
Overly praised mature journalist penning article (8),' overly praised ' is the definition. ' adulated ' can be an answer for ' praised '  . I'm not certain of the ' overly ' bit. ' mature journalist penning article ' is the wordplay. ' mature ' becomes ' adult ' ('adult' can be similar in meaning to 'mature'**) . ' journalist ' becomes ' ed ' (short for editor) . ' penning ' indicates putting letters inside. ' article ' becomes ' a ' (indefinite article) . ' adult '+' ed '=' adulted ' ' adulted ' enclosing ' a ' is ' ADULATED '.,adulated
"Having brought up weapon, secure a lump of gold (6)","' a lump of gold ' is the definition.  ' having brought up weapon secure ' is the wordplay. ' having brought up ' says the letters should be written in reverse (in a down clue, letters go up) . ' weapon ' becomes ' gun '  . ' secure ' becomes ' get '. ' gun ' in reverse letter order is ' nug '. ' nug '+' get '=' NUGGET '",nugget
"Fair play from English, somewhat reduced before close of play (6)",' fair play ' is the definition. (thesaurus) ' english somewhat reduced before close of play ' is the wordplay. ' english ' becomes ' e ' (abbreviation) . ' somewhat ' becomes ' quite '  . ' reduced ' means to remove the last letter. ' before close of play ' becomes ' y '  . ' quit e ' with its final letter taken off is ' quit '. ' e '+' quit '+' y '=' EQUITY ' ' from ' is the link.,equity
"Mars case for enrolment on left-wing scheme (3,6)",' mars ' is the definition. ('Red Planet' can be a synonym of 'mars') ' case for enrolment on left-wing scheme ' is the wordplay. ' case for ' says to hollow out the word (remove centre letters) (the letters which encase the others are used) . ' on ' is a charade indicator (letters next to each other). ' left wing ' becomes ' red '  . ' scheme ' becomes ' plan '  . ' e nrolmen t ' with its centre taken out is ' et '. ' red '+' plan '=' redplan ' ' et ' after ' redplan ' is ' RED PLANET '.,red planet
